time;ax;ay;az;aT
0.0030;-0.2613;-0.0194;-0.6887;0.737
0.0040;-0.1135;-0.0544;-0.3839;0.404
0.0040;0.0626;-0.0834;-0.0845;0.134
0.0090;0.1955;-0.1163;0.1428;0.269
0.0190;0.2527;-0.1641;0.3756;0.482
0.0200;0.2920;-0.2556;0.4898;0.625
0.0220;0.2906;-0.3919;0.5819;0.759
0.0280;0.2341;-0.3821;0.6139;0.760
0.0350;0.1371;-0.3174;0.6145;0.705
0.0370;0.0287;-0.2697;0.6269;0.683
0.0440;-0.1105;-0.2106;0.6702;0.711
0.0470;-0.2183;-0.1979;0.7399;0.796
0.0520;-0.3005;-0.2360;0.6825;0.782
0.0580;-0.2085;-0.2866;0.6082;0.704
0.0700;-0.1196;-0.2582;0.4878;0.565
0.0700;0.0048;-0.2126;0.3499;0.409
0.0720;0.1316;-0.2308;0.2707;0.379
0.0860;0.2467;-0.2453;0.2306;0.417
0.0860;0.4264;-0.2315;0.1432;0.506
0.0880;0.4797;-0.2322;0.0226;0.533
0.0940;0.5073;-0.2567;-0.0452;0.570
0.0980;0.4849;-0.2282;0.0304;0.537
0.1070;0.3930;-0.1469;0.0389;0.421
0.1080;0.2886;-0.0847;0.0425;0.304
0.1130;0.2428;-0.0513;0.1084;0.271
0.1180;0.2125;-0.0611;0.0979;0.242
0.1230;0.1062;-0.0378;0.1210;0.165
0.1280;0.0528;-0.0389;0.1588;0.172
0.1330;0.0090;-0.0264;0.1539;0.156
0.1380;0.0509;-0.0146;0.2212;0.227
0.1440;0.0876;0.0251;0.2746;0.289
0.1480;0.1482;0.0447;0.2710;0.312
0.1530;0.1610;0.0010;0.2921;0.333
0.1610;0.1835;-0.0774;0.3712;0.421
0.1630;0.1915;-0.0948;0.3840;0.439
0.1680;0.1566;-0.0796;0.3066;0.353
0.1730;0.1315;-0.0989;0.2298;0.283
0.1850;0.0877;-0.0709;0.1201;0.165
0.1850;0.0393;-0.0579;0.1064;0.127
0.1880;0.0343;-0.0164;0.0642;0.075
0.1950;-0.0519;0.0247;-0.0064;0.058
0.2020;-0.0804;0.0657;-0.0770;0.129
0.2030;-0.1085;0.0734;-0.1427;0.194
0.2130;-0.1556;0.0527;-0.2325;0.285
0.2140;-0.1644;0.0709;-0.2987;0.348
0.2190;-0.2015;0.0946;-0.3269;0.395
0.2240;-0.2286;0.0713;-0.3030;0.386
0.2290;-0.2361;0.0343;-0.2794;0.367
0.2340;-0.1331;-0.0403;-0.3520;0.378
0.2390;-0.1061;-0.1093;-0.3340;0.367
0.2450;-0.1025;-0.1201;-0.2542;0.299
0.2490;-0.0745;-0.1162;-0.0935;0.167
0.2540;-0.0606;-0.1026;0.0239;0.122
0.2680;-0.0327;-0.1464;0.0934;0.177
0.2680;0.0042;-0.2287;0.1439;0.270
0.2690;0.0071;-0.1871;0.1562;0.244
0.2750;-0.0144;-0.1460;0.2072;0.254
0.2800;-0.0174;-0.1392;0.2202;0.261
0.2860;-0.0356;-0.1330;0.2335;0.271
0.2890;-0.0690;-0.1562;0.2234;0.281
0.2950;-0.0556;-0.1705;0.1992;0.268
0.2990;-0.0768;-0.1758;0.1276;0.230
0.3040;-0.0749;-0.1386;0.0086;0.158
0.3110;-0.0446;-0.1209;-0.0910;0.158
0.3150;-0.0524;-0.1224;-0.2239;0.260
0.3200;0.0027;-0.1143;-0.2944;0.316
0.3250;-0.0325;-0.1060;-0.3363;0.354
0.3300;0.0001;-0.1023;-0.4069;0.420
0.3350;-0.0337;-0.0744;-0.4010;0.409
0.3400;-0.0241;-0.0700;-0.5103;0.516
0.3450;-0.0572;-0.0696;-0.5480;0.555
0.3500;-0.0660;-0.0492;-0.5815;0.587
0.3550;-0.0697;-0.0614;-0.5725;0.580
0.3680;-0.1064;-0.0342;-0.4875;0.500
0.3690;-0.1042;0.0032;-0.3984;0.412
0.3700;-0.1253;0.0224;-0.3002;0.326
0.3750;-0.0887;0.0230;-0.1882;0.209
0.3820;-0.1285;-0.0095;-0.1340;0.186
0.3860;-0.1726;-0.0037;-0.0368;0.177
0.3910;-0.1973;-0.0121;0.0220;0.199
0.3960;-0.2123;0.0033;0.0808;0.227
0.4000;-0.2416;0.0424;0.2114;0.324
0.4050;-0.1801;0.0618;0.3086;0.363
0.4120;-0.1857;0.0375;0.3153;0.368
0.4160;-0.1914;0.0075;0.2890;0.347
0.4200;-0.1636;0.0104;0.2392;0.290
0.4280;-0.1075;-0.0163;0.2234;0.248
0.4300;-0.0803;-0.0433;0.1649;0.188
0.4360;-0.0675;-0.0514;0.0874;0.122
0.4410;-0.0213;-0.0692;0.0771;0.106
0.4460;-0.0420;-0.0107;0.0765;0.088
0.4510;-0.0145;-0.0001;0.0998;0.101
0.4560;-0.0637;0.0295;0.0371;0.079
0.4690;-0.0842;0.0208;0.0318;0.092
0.4700;-0.0620;0.0264;-0.0069;0.068
0.4710;-0.0640;0.0034;-0.0169;0.066
0.4790;-0.0376;-0.0192;-0.0510;0.066
0.4820;-0.0258;-0.0272;-0.0996;0.106
0.4860;-0.0331;0.0080;-0.1339;0.138
0.4920;-0.0547;0.0675;-0.0584;0.105
0.4970;-0.0904;0.0699;0.0072;0.115
0.5010;-0.0449;0.0485;0.0632;0.091
0.5060;-0.0426;0.0463;0.0521;0.082
0.5130;-0.0453;0.0252;0.0170;0.054
0.5180;-0.0288;-0.0004;-0.0518;0.059
0.5220;-0.0408;0.0125;-0.0249;0.049
0.5280;-0.0718;0.0640;0.0400;0.104
0.5320;-0.0883;0.0629;0.0714;0.130
0.5370;-0.0666;0.0569;0.0453;0.099
0.5440;-0.0402;0.0556;0.0098;0.069
0.5480;-0.0423;0.0303;-0.0065;0.052
0.5520;-0.0586;0.0384;0.0443;0.083
0.5580;-0.0462;0.0511;0.0473;0.084
0.5620;-0.0337;0.0590;0.0312;0.075
0.5670;-0.0691;0.0620;0.0438;0.103
0.5720;-0.0614;0.0886;0.0470;0.118
0.5860;-0.0635;0.0818;0.0693;0.125
0.5870;-0.0609;0.0464;0.0724;0.105
0.5870;-0.0679;0.0158;0.0468;0.084
0.5920;-0.0409;-0.0003;0.0590;0.072
