time;gFx;gFy;gFz;TgF
0.006000;-0.0774;0.5009;0.7318;0.890
0.007000;-0.0818;0.5004;0.7865;0.936
0.008000;-0.0832;0.4999;0.8456;0.986
0.015000;-0.0793;0.5024;0.8769;1.014
0.016000;-0.0822;0.4994;0.8960;1.029
0.021000;-0.0891;0.4965;0.9028;1.034
0.025000;-0.0984;0.4897;0.9028;1.032
0.030000;-0.1028;0.4828;0.8984;1.025
0.035000;-0.0998;0.4804;0.9077;1.032
0.049000;-0.1037;0.4789;0.9048;1.029
0.050000;-0.1028;0.4863;0.8813;1.012
0.050000;-0.0906;0.4892;0.8671;1.000
0.057000;-0.0842;0.4877;0.8569;0.990
0.065000;-0.0852;0.4872;0.8534;0.986
0.065000;-0.0862;0.4819;0.8530;0.983
0.070000;-0.0910;0.4833;0.8618;0.992
0.076000;-0.0876;0.4814;0.8564;0.986
0.082000;-0.0822;0.4755;0.8569;0.983
0.085000;-0.0735;0.4735;0.8574;0.982
0.090000;-0.0725;0.4765;0.8696;0.994
0.095000;-0.0739;0.4755;0.8730;0.997
0.100000;-0.0813;0.4770;0.8725;0.998
0.105000;-0.0827;0.4770;0.8842;1.008
0.110000;-0.0822;0.4823;0.8872;1.013
0.115000;-0.0818;0.4828;0.8886;1.015
0.120000;-0.0832;0.4867;0.8920;1.020
0.132000;-0.0813;0.4858;0.8901;1.017
0.133000;-0.0783;0.4814;0.8857;1.011
0.135000;-0.0720;0.4755;0.8789;1.002
0.141000;-0.0651;0.4687;0.8725;0.993
0.145000;-0.0661;0.4687;0.8720;0.992
0.150000;-0.0666;0.4735;0.8754;0.998
0.154000;-0.0735;0.4770;0.8779;1.002
0.160000;-0.0715;0.4745;0.8745;0.997
0.165000;-0.0671;0.4716;0.8793;1.000
0.170000;-0.0617;0.4721;0.8837;1.004
0.174000;-0.0617;0.4711;0.8857;1.005
0.179000;-0.0666;0.4662;0.8945;1.011
0.184000;-0.0632;0.4692;0.8960;1.013
0.191000;-0.0637;0.4696;0.9038;1.021
0.194000;-0.0612;0.4672;0.9082;1.023
0.199000;-0.0598;0.4711;0.9023;1.020
0.205000;-0.0554;0.4701;0.8969;1.014
0.210000;-0.0510;0.4662;0.8935;1.009
0.214000;-0.0490;0.4633;0.8877;1.002
0.219000;-0.0480;0.4638;0.8925;1.007
0.234000;-0.0461;0.4574;0.8818;0.994
0.235000;-0.0432;0.4496;0.8789;0.988
0.235000;-0.0407;0.4467;0.8784;0.986
0.245000;-0.0314;0.4452;0.8740;0.981
0.246000;-0.0329;0.4452;0.8769;0.984
0.251000;-0.0432;0.4516;0.8901;0.999
0.255000;-0.0471;0.4574;0.9087;1.018
0.264000;-0.0549;0.4667;0.9253;1.038
0.266000;-0.0637;0.4672;0.9336;1.046
0.269000;-0.0612;0.4662;0.9375;1.049
0.277000;-0.0524;0.4667;0.9282;1.040
0.279000;-0.0485;0.4657;0.9131;1.026
0.284000;-0.0539;0.4692;0.8974;1.014
0.303000;-0.0876;0.4745;0.8808;1.004
0.305000;-0.0539;0.4892;0.8627;0.993
0.305000;-0.0060;0.4902;0.8525;0.983
0.306000;-0.0109;0.4687;0.8637;0.983
0.310000;-0.0378;0.4496;0.8945;1.002
0.314000;-0.0549;0.4310;0.9341;1.030
0.319000;-0.0309;0.4310;0.9649;1.057
0.334000;-0.0080;0.4364;0.9746;1.068
0.335000;0.0086;0.4398;0.9732;1.068
0.336000;0.0160;0.4389;0.9702;1.065
0.341000;0.0057;0.4486;0.9619;1.061
0.351000;-0.0334;0.4897;0.9614;1.079
0.351000;-0.0353;0.4877;0.9663;1.083
0.355000;-0.0016;0.4330;0.9477;1.042
0.365000;0.0052;0.4125;0.9243;1.012
0.366000;0.0081;0.4056;0.8901;0.978
0.368000;0.0218;0.3993;0.8662;0.954
0.378000;0.0375;0.3876;0.8569;0.941
0.379000;0.0511;0.3783;0.8510;0.933
0.383000;0.0580;0.3656;0.8530;0.930
0.388000;0.0565;0.3577;0.8417;0.916
0.393000;0.0555;0.3470;0.8271;0.899
