time;gFx;gFy;gFz;TgF
0.004000;-0.0871;0.5493;1.0103;1.153
0.005000;-0.0808;0.5869;1.0518;1.207
0.010000;-0.0710;0.6245;1.0865;1.255
0.012000;-0.0695;0.6661;1.0802;1.271
0.016000;-0.0759;0.6949;1.0489;1.260
0.033000;-0.0739;0.7095;1.0279;1.251
0.034000;-0.0764;0.7081;1.0088;1.235
0.034000;-0.0715;0.7061;0.9893;1.218
0.036000;-0.0608;0.7066;0.9771;1.207
0.050000;-0.0544;0.7047;0.9619;1.194
0.051000;-0.0490;0.6915;0.9570;1.182
0.052000;-0.0441;0.6739;0.9463;1.163
0.058000;-0.0393;0.6470;0.9272;1.131
0.061000;-0.0319;0.6157;0.9145;1.103
0.066000;-0.0231;0.5874;0.9048;1.079
0.073000;-0.0075;0.5576;0.8950;1.054
0.076000;-0.0021;0.5307;0.8637;1.014
0.080000;-0.0153;0.5249;0.7650;0.928
0.086000;0.0326;0.5156;0.8344;0.981
0.091000;0.0658;0.5092;0.9414;1.072
0.095000;0.0560;0.4853;0.9404;1.060
0.101000;0.0516;0.4540;0.9121;1.020
0.114000;0.0599;0.4516;0.8906;1.000
0.115000;0.0722;0.4506;0.8637;0.977
0.115000;0.0756;0.4530;0.8295;0.948
0.127000;0.0829;0.4560;0.8002;0.925
0.128000;0.0922;0.4745;0.7743;0.913
0.143000;0.0917;0.4916;0.7562;0.907
0.144000;0.0775;0.4770;0.7450;0.888
0.145000;0.0785;0.4599;0.7474;0.881
0.146000;0.0956;0.4506;0.7611;0.890
0.150000;0.1142;0.4301;0.7694;0.889
0.156000;0.1215;0.4164;0.7758;0.889
0.160000;0.1269;0.4095;0.7870;0.896
0.165000;0.1342;0.4032;0.8007;0.906
0.172000;0.1371;0.3959;0.8173;0.918
0.180000;0.1391;0.3983;0.8319;0.933
0.180000;0.1425;0.3978;0.8315;0.933
0.185000;0.1430;0.4042;0.8339;0.938
0.190000;0.1342;0.4164;0.8315;0.940
0.195000;0.1181;0.4257;0.8202;0.932
0.200000;0.0956;0.4437;0.8129;0.931
0.213000;0.0761;0.4657;0.8021;0.931
0.214000;0.0629;0.4833;0.7914;0.929
0.215000;0.0575;0.4990;0.7855;0.932
0.220000;0.0492;0.5117;0.7855;0.939
0.227000;0.0414;0.5170;0.7919;0.947
0.233000;0.0394;0.5170;0.8026;0.956
0.235000;0.0272;0.5165;0.8192;0.969
0.240000;0.0072;0.5239;0.8412;0.991
0.245000;-0.0021;0.5278;0.8486;0.999
0.250000;0.0003;0.5273;0.8564;1.006
0.256000;0.0023;0.5214;0.8588;1.005
0.261000;0.0096;0.5229;0.8671;1.013
0.268000;0.0145;0.5180;0.8676;1.011
0.269000;0.0238;0.4994;0.8725;1.006
0.276000;0.0443;0.4706;0.8676;0.988
0.279000;0.0467;0.4745;0.8339;0.961
0.285000;0.0516;0.4965;0.8251;0.964
0.290000;0.0629;0.4990;0.8403;0.979
0.294000;0.0648;0.4965;0.8525;0.989
0.299000;0.0580;0.4887;0.8554;0.987
0.306000;0.0546;0.4872;0.8481;0.980
0.309000;0.0516;0.4838;0.8691;0.996
0.314000;0.0502;0.4794;0.8862;1.009
0.320000;0.0477;0.4809;0.8925;1.015
0.330000;0.0472;0.4828;0.8920;1.015
0.331000;0.0433;0.4819;0.8857;1.009
0.334000;0.0350;0.4838;0.8793;1.004
0.345000;0.0267;0.4911;0.8769;1.005
0.347000;0.0218;0.5029;0.8754;1.010
0.349000;0.0160;0.5126;0.8710;1.011
0.356000;0.0164;0.5234;0.8701;1.015
0.359000;0.0121;0.5283;0.8559;1.006
0.364000;0.0047;0.5283;0.8432;0.995
0.369000;0.0086;0.5229;0.8359;0.986
0.374000;0.0179;0.5185;0.8378;0.985
0.379000;0.0164;0.5121;0.8407;0.985
0.384000;0.0140;0.5102;0.8363;0.980
0.389000;0.0101;0.5102;0.8383;0.981
0.394000;0.0130;0.5073;0.8427;0.984
0.398000;0.0360;0.5038;0.8432;0.983
0.404000;0.0355;0.4965;0.8495;0.985
0.409000;0.0365;0.4882;0.8456;0.977
0.414000;0.0331;0.4848;0.8486;0.978
0.418000;0.0292;0.4916;0.8471;0.980
0.431000;0.0252;0.4970;0.8476;0.983
0.431000;0.0179;0.5048;0.8466;0.986
0.434000;0.0072;0.5078;0.8339;0.976
0.447000;0.0037;0.5165;0.8227;0.971
0.448000;0.0037;0.5209;0.8144;0.967
0.449000;0.0047;0.5229;0.8114;0.965
0.453000;0.0072;0.5229;0.8065;0.961
0.458000;0.0081;0.5229;0.8109;0.965
0.463000;0.0047;0.5200;0.8212;0.972
0.468000;0.0033;0.5180;0.8246;0.974
0.475000;0.0130;0.5141;0.8305;0.977
0.478000;0.0306;0.5112;0.8334;0.978
0.483000;0.0384;0.5063;0.8344;0.977
0.490000;0.0467;0.5014;0.8368;0.977
0.493000;0.0448;0.5038;0.8359;0.977
0.498000;0.0414;0.5019;0.8427;0.982
0.503000;0.0379;0.5004;0.8447;0.982
0.508000;0.0311;0.5043;0.8388;0.979
0.513000;0.0287;0.5078;0.8285;0.972
0.518000;0.0311;0.5121;0.8188;0.966
0.532000;0.0296;0.5112;0.8163;0.964
0.533000;0.0233;0.5141;0.8163;0.965
0.533000;0.0150;0.5161;0.8227;0.971
0.538000;0.0062;0.5141;0.8266;0.973
0.543000;0.0052;0.5121;0.8295;0.975
0.548000;0.0067;0.5058;0.8319;0.974
0.553000;0.0145;0.5009;0.8417;0.980
0.559000;0.0204;0.5004;0.8398;0.978
0.563000;0.0277;0.4990;0.8373;0.975
0.568000;0.0375;0.4916;0.8398;0.974
0.573000;0.0404;0.4823;0.8398;0.969
0.578000;0.0428;0.4779;0.8359;0.964
0.583000;0.0663;0.4740;0.8310;0.959
0.588000;0.0770;0.4726;0.8290;0.957
0.593000;0.0717;0.4696;0.8266;0.953
0.597000;0.0687;0.4667;0.8246;0.950
0.602000;0.0726;0.4574;0.8290;0.950
