time;gFx;gFy;gFz;TgF
0.007000;-0.0554;0.5058;0.9145;1.047
0.008000;-0.0173;0.5107;0.9404;1.070
0.009000;0.0228;0.5126;0.9536;1.083
0.016000;0.0555;0.5121;0.9595;1.089
0.017000;0.0736;0.4999;0.9512;1.077
0.027000;0.0902;0.4882;0.9331;1.057
0.028000;0.1054;0.4814;0.9155;1.040
0.030000;0.1103;0.4770;0.9062;1.030
0.035000;0.1098;0.4735;0.9150;1.036
0.039000;0.0971;0.4775;0.9204;1.041
0.045000;0.0765;0.4809;0.9184;1.040
0.049000;0.0516;0.4911;0.9170;1.041
0.054000;0.0321;0.5014;0.9111;1.040
0.068000;0.0077;0.5156;0.8935;1.032
0.068000;-0.0114;0.5205;0.8789;1.021
0.118000;-0.0236;0.5253;0.8647;1.012
0.119000;-0.0353;0.5317;0.8486;1.002
0.120000;-0.0476;0.5322;0.8534;1.007
0.120000;-0.0485;0.5376;0.8598;1.015
0.121000;-0.0471;0.5346;0.8745;1.026
0.121000;-0.0358;0.5322;0.8823;1.031
0.121000;-0.0222;0.5268;0.8823;1.028
0.122000;-0.0060;0.5239;0.8867;1.030
0.122000;0.0037;0.5170;0.8979;1.036
0.123000;0.0067;0.5165;0.9028;1.040
0.123000;0.0121;0.5161;0.9077;1.044
0.130000;0.0223;0.5156;0.9013;1.039
0.131000;0.0204;0.5146;0.8940;1.032
0.135000;0.0223;0.5185;0.8911;1.031
0.139000;0.0238;0.5239;0.8877;1.031
0.145000;0.0262;0.5273;0.8828;1.029
0.149000;0.0252;0.5341;0.8769;1.027
0.154000;0.0243;0.5356;0.8666;1.019
0.167000;0.0262;0.5371;0.8598;1.014
0.168000;0.0296;0.5410;0.8598;1.016
0.169000;0.0345;0.5439;0.8603;1.018
0.182000;0.0394;0.5420;0.8451;1.005
0.182000;0.0438;0.5400;0.8319;0.993
0.183000;0.0497;0.5395;0.8271;0.989
0.188000;0.0599;0.5444;0.8285;0.993
0.195000;0.0653;0.5429;0.8290;0.993
0.203000;0.0726;0.5400;0.8232;0.987
0.204000;0.0780;0.5400;0.8202;0.985
0.211000;0.0785;0.5395;0.8178;0.983
0.214000;0.0829;0.5356;0.8148;0.979
0.218000;0.0858;0.5317;0.8158;0.978
0.223000;0.0805;0.5249;0.8168;0.974
0.229000;0.0746;0.5234;0.8168;0.973
0.233000;0.0692;0.5190;0.8207;0.974
0.238000;0.0594;0.5136;0.8256;0.974
0.252000;0.0492;0.5156;0.8241;0.973
0.253000;0.0467;0.5200;0.8246;0.976
0.253000;0.0370;0.5214;0.8261;0.978
0.262000;0.0243;0.5263;0.8300;0.983
0.263000;0.0169;0.5351;0.8349;0.992
0.268000;0.0145;0.5380;0.8427;1.000
0.273000;0.0160;0.5376;0.8525;1.008
0.288000;0.0213;0.5371;0.8530;1.008
0.289000;0.0248;0.5322;0.8500;1.003
0.290000;0.0306;0.5239;0.8486;0.998
0.295000;0.0340;0.5146;0.8525;0.996
0.298000;0.0365;0.5068;0.8583;0.997
0.303000;0.0423;0.5004;0.8671;1.002
0.310000;0.0419;0.4985;0.8725;1.006
0.313000;0.0331;0.4970;0.8798;1.011
0.317000;0.0282;0.4970;0.8852;1.016
0.323000;0.0277;0.5014;0.8916;1.023
0.328000;0.0282;0.5019;0.8881;1.021
0.332000;0.0282;0.5038;0.8847;1.019
0.337000;0.0292;0.5038;0.8798;1.014
0.351000;0.0292;0.5019;0.8705;1.005
0.352000;0.0306;0.5014;0.8574;0.994
0.352000;0.0316;0.4985;0.8549;0.990
0.357000;0.0321;0.4975;0.8486;0.984
0.368000;0.0321;0.4999;0.8422;0.980
0.369000;0.0306;0.5014;0.8393;0.978
0.376000;0.0267;0.5019;0.8329;0.973
0.386000;0.0257;0.5078;0.8246;0.969
0.387000;0.0223;0.5112;0.8222;0.968
0.388000;0.0189;0.5112;0.8124;0.960
0.394000;0.0194;0.5146;0.8056;0.956
0.397000;0.0204;0.5151;0.8017;0.953
0.402000;0.0189;0.5161;0.7968;0.949
0.407000;0.0184;0.5170;0.7968;0.950
0.412000;0.0208;0.5170;0.8041;0.956
0.417000;0.0179;0.5165;0.8056;0.957
0.422000;0.0140;0.5180;0.8017;0.955
0.427000;0.0047;0.5190;0.8007;0.954
0.432000;0.0028;0.5219;0.7997;0.955
0.437000;0.0018;0.5214;0.8002;0.955
0.453000;0.0003;0.5268;0.8065;0.963
0.454000;-0.0002;0.5283;0.8085;0.966
0.455000;0.0037;0.5239;0.8080;0.963
0.457000;0.0072;0.5200;0.8104;0.963
0.463000;0.0135;0.5185;0.7977;0.952
0.469000;0.0160;0.5190;0.7977;0.952
0.471000;0.0218;0.5190;0.8031;0.956
0.487000;0.0248;0.5165;0.8017;0.954
0.488000;0.0257;0.5190;0.8007;0.955
0.489000;0.0272;0.5180;0.8095;0.961
0.494000;0.0272;0.5190;0.8139;0.966
0.496000;0.0340;0.5234;0.8173;0.971
0.501000;0.0404;0.5273;0.8212;0.977
0.506000;0.0448;0.5239;0.8227;0.976
0.511000;0.0428;0.5239;0.8227;0.976
0.516000;0.0502;0.5190;0.8359;0.985
0.521000;0.0492;0.5156;0.8476;0.993
0.527000;0.0433;0.5131;0.8500;0.994
0.531000;0.0453;0.5121;0.8578;1.000
0.536000;0.0492;0.5087;0.8598;1.000
0.541000;0.0482;0.5092;0.8613;1.002
0.546000;0.0443;0.5024;0.8686;1.004
0.551000;0.0399;0.5019;0.8745;1.009
0.556000;0.0423;0.5038;0.8891;1.023
0.568000;0.0458;0.5009;0.8955;1.027
0.569000;0.0487;0.5004;0.8945;1.026
0.571000;0.0526;0.5004;0.8960;1.028
0.579000;0.0541;0.5004;0.8969;1.029
0.581000;0.0516;0.4999;0.9067;1.037
0.586000;0.0507;0.4955;0.9082;1.036
0.591000;0.0526;0.4926;0.9023;1.029
0.603000;0.0419;0.4926;0.8916;1.019
0.604000;0.0345;0.4926;0.8842;1.013
0.606000;0.0277;0.4955;0.8808;1.011
0.611000;0.0145;0.4999;0.8769;1.010
0.616000;0.0111;0.4999;0.8798;1.012
0.621000;0.0121;0.5029;0.8808;1.014
0.628000;0.0077;0.5043;0.8813;1.015
0.630000;0.0096;0.5043;0.8779;1.012
0.635000;0.0135;0.5014;0.8759;1.009
0.640000;0.0164;0.4985;0.8769;1.009
0.645000;0.0233;0.4980;0.8740;1.006
0.650000;0.0345;0.4960;0.8798;1.011
0.655000;0.0331;0.4931;0.8877;1.016
0.668000;0.0394;0.4950;0.8911;1.020
0.669000;0.0448;0.4946;0.8974;1.026
0.670000;0.0492;0.4916;0.9033;1.030
0.675000;0.0531;0.4892;0.9072;1.032
0.686000;0.0663;0.4887;0.9082;1.033
0.687000;0.0726;0.4819;0.9116;1.034
0.696000;0.0726;0.4750;0.9057;1.025
0.697000;0.0751;0.4701;0.8984;1.017
0.700000;0.0746;0.4662;0.8960;1.013
0.705000;0.0717;0.4696;0.8935;1.012
0.711000;0.0663;0.4706;0.8920;1.011
0.715000;0.0609;0.4711;0.8862;1.005
0.720000;0.0516;0.4779;0.8774;1.000
0.727000;0.0492;0.4765;0.8637;0.988
0.730000;0.0477;0.4770;0.8603;0.985
0.735000;0.0477;0.4799;0.8398;0.968
0.740000;0.0423;0.4814;0.8354;0.965
0.745000;0.0477;0.4843;0.8256;0.958
0.750000;0.0536;0.4882;0.8256;0.961
0.755000;0.0634;0.4916;0.8300;0.967
0.769000;0.0722;0.4902;0.8305;0.967
0.770000;0.0834;0.4970;0.8285;0.970
0.771000;0.0858;0.5004;0.8256;0.969
0.775000;0.0907;0.5043;0.8212;0.968
0.780000;0.0897;0.5048;0.8168;0.964
0.785000;0.0883;0.5063;0.8178;0.966
0.789000;0.0829;0.5043;0.8232;0.969
0.803000;0.0756;0.5024;0.8236;0.968
0.804000;0.0668;0.5068;0.8246;0.970
0.804000;0.0590;0.5058;0.8261;0.970
0.812000;0.0507;0.5073;0.8300;0.974
0.814000;0.0458;0.5068;0.8319;0.975
0.819000;0.0365;0.5082;0.8300;0.974
0.824000;0.0316;0.5092;0.8319;0.976
0.829000;0.0316;0.5097;0.8334;0.977
0.834000;0.0306;0.5141;0.8368;0.983
0.839000;0.0336;0.5156;0.8481;0.993
0.852000;0.0321;0.5175;0.8486;0.994
0.853000;0.0301;0.5146;0.8495;0.994
