time;gFx;gFy;gFz;TgF
0.004000;0.0204;0.4608;0.8603;0.976
0.004000;0.0189;0.4648;0.8393;0.960
0.005000;0.0208;0.4633;0.8246;0.946
0.009000;0.0140;0.4589;0.8256;0.945
0.012000;0.0042;0.4516;0.8295;0.944
0.017000;0.0003;0.4457;0.8295;0.942
0.022000;0.0116;0.4374;0.8266;0.935
0.026000;0.0194;0.4315;0.8241;0.930
0.032000;0.0194;0.4320;0.8129;0.921
0.037000;0.0184;0.4296;0.8026;0.911
0.041000;0.0223;0.4242;0.8012;0.907
0.049000;0.0287;0.4218;0.8031;0.908
0.051000;0.0404;0.4174;0.8070;0.909
0.057000;0.0482;0.4213;0.8412;0.942
0.062000;0.0516;0.4384;0.9145;1.015
0.067000;0.0414;0.4608;1.0245;1.124
0.071000;0.0145;0.4755;1.1197;1.217
0.077000;-0.0031;0.4789;1.1544;1.250
0.091000;0.0037;0.4643;1.1290;1.221
0.092000;0.0345;0.4364;1.0601;1.147
0.092000;0.0790;0.4047;0.9995;1.081
0.098000;0.1132;0.3802;0.9624;1.041
0.101000;0.1132;0.3788;0.9287;1.009
0.109000;0.0863;0.4007;0.8994;0.988
0.111000;0.0585;0.4237;0.8525;0.954
0.116000;0.0428;0.4325;0.8192;0.927
0.121000;0.0336;0.4354;0.7943;0.906
0.126000;0.0272;0.4310;0.7943;0.904
0.133000;0.0267;0.4306;0.8031;0.912
0.136000;0.0292;0.4349;0.8207;0.929
0.140000;0.0296;0.4418;0.8373;0.947
0.146000;0.0287;0.4491;0.8525;0.964
0.151000;0.0257;0.4560;0.8632;0.977
0.155000;0.0257;0.4569;0.8637;0.977
0.161000;0.0321;0.4467;0.8725;0.981
0.174000;0.0453;0.4393;0.8920;0.995
0.175000;0.0497;0.4330;0.9209;1.019
0.176000;0.0516;0.4222;0.9468;1.038
0.182000;0.0521;0.4149;0.9497;1.038
0.189000;0.0463;0.4188;0.9380;1.028
0.191000;0.0379;0.4306;0.9219;1.018
0.195000;0.0272;0.4354;0.9082;1.008
0.202000;0.0208;0.4408;0.9048;1.007
0.205000;0.0199;0.4403;0.8989;1.001
0.210000;0.0184;0.4291;0.8940;0.992
0.216000;0.0145;0.4227;0.8989;0.993
0.221000;0.0081;0.4169;0.9023;0.994
0.225000;0.0096;0.4120;0.8925;0.983
0.232000;0.0052;0.4071;0.8877;0.977
0.236000;0.0028;0.4076;0.8779;0.968
0.241000;0.0033;0.4105;0.8730;0.965
0.249000;0.0086;0.4071;0.8642;0.955
0.250000;0.0169;0.4051;0.8622;0.953
0.255000;0.0248;0.4071;0.8642;0.956
0.261000;0.0306;0.4115;0.8740;0.966
0.267000;0.0340;0.4134;0.8798;0.973
0.270000;0.0331;0.4159;0.8886;0.982
0.275000;0.0326;0.4144;0.8999;0.991
0.294000;0.0306;0.4105;0.9096;0.998
0.295000;0.0228;0.4130;0.9140;1.003
0.296000;0.0169;0.4169;0.9179;1.008
0.296000;0.0067;0.4169;0.9263;1.016
0.302000;0.0013;0.4178;0.9350;1.024
0.306000;0.0028;0.4125;0.9434;1.030
0.310000;0.0033;0.4110;0.9492;1.034
0.315000;0.0057;0.4091;0.9556;1.039
0.320000;0.0033;0.4086;0.9517;1.036
0.326000;-0.0026;0.4100;0.9477;1.033
0.330000;0.0003;0.4144;0.9321;1.020
0.335000;0.0077;0.4105;0.9116;1.000
0.339000;0.0174;0.4105;0.9038;0.993
0.345000;0.0213;0.4081;0.8994;0.988
0.350000;0.0301;0.4051;0.8964;0.984
0.355000;0.0355;0.4022;0.8950;0.982
0.359000;0.0340;0.4012;0.8935;0.980
0.374000;0.0316;0.3998;0.8881;0.974
0.375000;0.0243;0.4022;0.8852;0.973
0.376000;0.0169;0.4051;0.8872;0.975
0.379000;0.0101;0.4042;0.8930;0.980
0.385000;0.0130;0.4066;0.8945;0.983
0.391000;0.0145;0.4061;0.9062;0.993
0.397000;0.0125;0.4047;0.9116;0.997
0.401000;0.0155;0.4071;0.9165;1.003
0.405000;0.0057;0.4051;0.9179;1.003
0.409000;-0.0007;0.4012;0.9219;1.005
0.416000;-0.0055;0.4012;0.9121;0.996
0.419000;-0.0129;0.4003;0.9028;0.988
0.425000;-0.0129;0.3993;0.8920;0.977
0.429000;-0.0080;0.3973;0.8886;0.973
0.434000;-0.0046;0.3954;0.8862;0.970
