time;gFx;gFy;gFz;TgF
0.009000;-0.0358;0.3426;0.9536;1.014
0.009000;-0.0300;0.3411;0.9502;1.010
0.010000;-0.0246;0.3416;0.9394;1.000
0.010000;-0.0251;0.3411;0.9355;0.996
0.016000;-0.0339;0.3480;0.9326;0.996
0.018000;-0.0427;0.3548;0.9336;1.000
0.024000;-0.0441;0.3597;0.9429;1.010
0.028000;-0.0422;0.3602;0.9419;1.009
0.033000;-0.0378;0.3631;0.9443;1.012
0.038000;-0.0305;0.3612;0.9414;1.009
0.043000;-0.0309;0.3568;0.9429;1.009
0.047000;-0.0217;0.3563;0.9443;1.010
0.062000;-0.0231;0.3533;0.9350;1.000
0.063000;-0.0236;0.3558;0.9292;0.995
0.063000;-0.0246;0.3558;0.9297;0.996
0.067000;-0.0231;0.3587;0.9263;0.994
0.074000;-0.0222;0.3587;0.9228;0.990
0.077000;-0.0285;0.3592;0.9204;0.988
0.082000;-0.0300;0.3577;0.9277;0.995
0.088000;-0.0309;0.3558;0.9326;0.999
0.092000;-0.0309;0.3558;0.9346;1.000
0.097000;-0.0305;0.3490;0.9282;0.992
0.102000;-0.0324;0.3519;0.9341;0.999
0.107000;-0.0314;0.3519;0.9292;0.994
0.112000;-0.0295;0.3480;0.9272;0.991
0.117000;-0.0290;0.3485;0.9321;0.996
0.122000;-0.0236;0.3436;0.9346;0.996
0.127000;-0.0217;0.3406;0.9321;0.993
0.132000;-0.0236;0.3411;0.9287;0.990
0.138000;-0.0246;0.3421;0.9321;0.993
0.142000;-0.0241;0.3426;0.9336;0.995
0.147000;-0.0319;0.3470;0.9355;0.998
0.152000;-0.0358;0.3441;0.9350;0.997
0.162000;-0.0417;0.3490;0.9326;0.997
0.163000;-0.0461;0.3533;0.9306;0.997
0.167000;-0.0461;0.3529;0.9394;1.005
0.177000;-0.0422;0.3524;0.9443;1.009
0.177000;-0.0402;0.3509;0.9458;1.010
0.182000;-0.0334;0.3465;0.9492;1.011
0.189000;-0.0295;0.3465;0.9458;1.008
0.192000;-0.0280;0.3460;0.9429;1.005
0.197000;-0.0265;0.3460;0.9350;0.997
0.202000;-0.0275;0.3490;0.9355;0.999
0.207000;-0.0329;0.3509;0.9292;0.994
0.212000;-0.0349;0.3485;0.9336;0.997
0.216000;-0.0368;0.3475;0.9350;0.998
0.223000;-0.0456;0.3480;0.9355;0.999
0.227000;-0.0441;0.3504;0.9321;0.997
0.232000;-0.0466;0.3538;0.9336;0.999
0.238000;-0.0402;0.3563;0.9331;1.000
0.242000;-0.0339;0.3533;0.9253;0.991
0.246000;-0.0329;0.3494;0.9228;0.987
0.252000;-0.0368;0.3504;0.9267;0.991
0.256000;-0.0432;0.3548;0.9267;0.993
0.261000;-0.0436;0.3553;0.9287;0.995
0.266000;-0.0500;0.3587;0.9370;1.005
0.283000;-0.0485;0.3612;0.9390;1.007
0.284000;-0.0451;0.3577;0.9336;1.001
0.284000;-0.0446;0.3553;0.9331;0.999
0.306000;-0.0388;0.3509;0.9287;0.994
0.307000;-0.0432;0.3514;0.9228;0.988
0.308000;-0.0456;0.3577;0.9189;0.987
0.308000;-0.0529;0.3636;0.9204;0.991
0.309000;-0.0612;0.3690;0.9297;1.002
0.314000;-0.0554;0.3661;0.9375;1.008
0.316000;-0.0505;0.3651;0.9404;1.010
0.323000;-0.0495;0.3661;0.9497;1.019
0.326000;-0.0427;0.3626;0.9595;1.027
0.331000;-0.0319;0.3538;0.9585;1.022
0.336000;-0.0246;0.3441;0.9614;1.021
0.341000;-0.0222;0.3411;0.9614;1.020
0.346000;-0.0182;0.3392;0.9512;1.010
0.351000;-0.0197;0.3397;0.9448;1.004
0.363000;-0.0197;0.3446;0.9409;1.002
0.364000;-0.0153;0.3490;0.9404;1.003
0.365000;-0.0197;0.3499;0.9385;1.002
0.373000;-0.0163;0.3436;0.9316;0.993
0.381000;-0.0124;0.3387;0.9326;0.992
0.382000;-0.0046;0.3343;0.9316;0.990
0.386000;-0.0016;0.3309;0.9360;0.993
0.391000;-0.0002;0.3294;0.9380;0.994
0.395000;0.0023;0.3304;0.9370;0.994
0.401000;0.0008;0.3328;0.9394;0.997
0.406000;-0.0031;0.3328;0.9385;0.996
0.411000;-0.0026;0.3397;0.9346;0.994
0.415000;-0.0065;0.3470;0.9306;0.993
0.422000;-0.0129;0.3480;0.9316;0.995
0.425000;-0.0148;0.3397;0.9375;0.997
0.430000;-0.0134;0.3392;0.9321;0.992
0.435000;-0.0075;0.3392;0.9272;0.987
0.440000;-0.0080;0.3402;0.9228;0.984
0.445000;-0.0065;0.3426;0.9116;0.974
0.450000;-0.0046;0.3426;0.9111;0.973
0.464000;-0.0080;0.3421;0.9111;0.973
0.464000;-0.0099;0.3431;0.9184;0.980
0.465000;-0.0182;0.3421;0.9233;0.985
0.472000;-0.0158;0.3416;0.9253;0.986
0.479000;-0.0129;0.3421;0.9350;0.996
0.480000;-0.0060;0.3392;0.9360;0.996
0.485000;-0.0070;0.3382;0.9316;0.991
0.490000;-0.0080;0.3377;0.9258;0.985
0.495000;-0.0060;0.3441;0.9223;0.984
0.500000;-0.0075;0.3431;0.9219;0.984
0.506000;-0.0080;0.3426;0.9214;0.983
0.510000;-0.0187;0.3446;0.9131;0.976
0.515000;-0.0275;0.3509;0.9145;0.980
0.520000;-0.0285;0.3553;0.9277;0.994
0.525000;-0.0265;0.3548;0.9350;1.000
0.530000;-0.0265;0.3538;0.9370;1.002
0.535000;-0.0246;0.3543;0.9355;1.001
0.540000;-0.0202;0.3504;0.9424;1.006
0.545000;-0.0197;0.3504;0.9458;1.009
0.550000;-0.0182;0.3494;0.9399;1.003
0.565000;-0.0129;0.3441;0.9380;0.999
0.566000;-0.0099;0.3421;0.9365;0.997
0.566000;-0.0138;0.3387;0.9438;1.003
0.573000;-0.0085;0.3387;0.9443;1.003
0.576000;-0.0075;0.3411;0.9473;1.007
0.581000;-0.0080;0.3411;0.9477;1.007
0.584000;-0.0109;0.3426;0.9521;1.012
0.591000;-0.0148;0.3416;0.9561;1.015
0.594000;-0.0158;0.3436;0.9463;1.007
0.599000;-0.0182;0.3480;0.9458;1.008
0.606000;-0.0197;0.3485;0.9399;1.003
0.609000;-0.0119;0.3475;0.9443;1.006
0.614000;-0.0129;0.3446;0.9419;1.003
0.620000;-0.0119;0.3402;0.9360;0.996
0.624000;-0.0109;0.3377;0.9370;0.996
0.629000;-0.0094;0.3397;0.9360;0.996
0.634000;-0.0114;0.3382;0.9448;1.004
0.640000;-0.0075;0.3377;0.9492;1.008
0.644000;-0.0099;0.3358;0.9551;1.012
0.649000;-0.0129;0.3343;0.9390;0.997
0.654000;-0.0090;0.3319;0.9277;0.985
0.666000;-0.0050;0.3323;0.9272;0.985
0.667000;-0.0104;0.3382;0.9350;0.994
0.669000;-0.0138;0.3446;0.9399;1.001
0.675000;-0.0153;0.3485;0.9443;1.007
