time;gFx;gFy;gFz;TgF
0.002000;-0.0503;0.6630;0.6704;0.944
0.003000;-0.0107;0.6586;0.7134;0.971
0.003000;0.0200;0.6630;0.7691;1.016
0.018000;0.0660;0.6650;0.8013;1.043
0.024000;0.0792;0.6518;0.8077;1.041
0.039000;0.0831;0.6552;0.8131;1.048
0.082000;0.0621;0.6499;0.8209;1.049
0.083000;0.0342;0.6435;0.8096;1.035
0.084000;-0.0010;0.6484;0.8233;1.048
0.084000;-0.0381;0.6533;0.8370;1.062
0.085000;-0.0406;0.6450;0.8473;1.066
0.097000;-0.0425;0.6240;0.8497;1.055
0.111000;-0.0406;0.6171;0.8487;1.050
0.112000;0.0088;0.6196;0.8258;1.032
0.125000;0.0542;0.6098;0.8106;1.016
0.140000;0.0704;0.5971;0.8170;1.014
0.145000;0.0811;0.6191;0.8170;1.028
0.152000;0.0850;0.6205;0.7886;1.007
0.170000;0.0899;0.5712;0.7578;0.953
0.174000;0.0674;0.5956;0.7598;0.968
0.184000;0.0249;0.6494;0.7842;1.018
0.210000;0.0078;0.6518;0.7940;1.027
0.211000;0.0308;0.6254;0.8145;1.027
0.221000;0.0537;0.6005;0.8463;1.039
0.229000;0.0596;0.5917;0.8722;1.056
0.236000;0.0733;0.5898;0.8903;1.070
0.244000;0.0801;0.5663;0.8981;1.065
0.253000;0.0796;0.5639;0.9132;1.076
0.266000;0.0567;0.5727;0.9142;1.080
0.275000;0.0450;0.5717;0.8834;1.053
0.283000;0.0401;0.5741;0.8683;1.042
0.301000;0.0376;0.5898;0.8546;1.039
0.307000;0.0410;0.6029;0.8350;1.031
0.320000;0.0454;0.6034;0.8277;1.025
0.324000;0.0484;0.6029;0.8174;1.017
0.343000;0.0567;0.6049;0.8008;1.005
0.345000;0.0518;0.6069;0.7911;0.998
0.353000;0.0577;0.6029;0.7862;0.992
0.364000;0.0537;0.6029;0.7881;0.994
0.373000;0.0479;0.5981;0.7891;0.991
0.383000;0.0435;0.5995;0.8067;1.006
0.395000;0.0445;0.6044;0.8272;1.025
0.403000;0.0391;0.5922;0.8336;1.023
0.414000;0.0450;0.5873;0.8409;1.027
0.424000;0.0386;0.5854;0.8477;1.031
0.435000;0.0371;0.5844;0.8477;1.030
0.456000;0.0313;0.5878;0.8394;1.025
0.457000;0.0410;0.5878;0.8399;1.026
0.468000;0.0425;0.5966;0.8272;1.021
