time;gFx;gFy;gFz;TgF
0.002000;-0.1383;0.5404;0.7852;0.963
0.008000;-0.0933;0.5355;0.7823;0.953
0.018000;-0.0625;0.5301;0.7730;0.939
0.027000;-0.0274;0.5248;0.8077;0.964
0.038000;-0.0176;0.5121;0.7906;0.942
0.048000;-0.0049;0.5018;0.8453;0.983
0.058000;0.0264;0.5003;0.9464;1.071
0.104000;0.0552;0.4896;0.9381;1.060
0.105000;0.0479;0.4676;0.9469;1.057
0.106000;0.0318;0.4617;0.9416;1.049
0.106000;-0.0117;0.4544;0.9118;1.019
0.115000;-0.0420;0.4681;0.9289;1.041
0.120000;-0.0401;0.4740;0.9127;1.029
0.129000;-0.0440;0.5023;0.8746;1.010
0.139000;-0.0498;0.4700;0.8502;0.973
0.154000;-0.0401;0.4613;0.8468;0.965
0.160000;-0.0313;0.4564;0.8316;0.949
0.171000;-0.0318;0.4573;0.8111;0.932
0.181000;-0.0239;0.4573;0.8155;0.935
0.196000;-0.0015;0.4593;0.8609;0.976
0.204000;0.0147;0.4554;0.8829;0.994
0.212000;0.0225;0.4466;0.9049;1.009
0.256000;0.0220;0.4525;0.9513;1.054
0.257000;0.0171;0.4485;0.9679;1.067
0.257000;0.0078;0.4529;0.9660;1.067
0.258000;-0.0010;0.4564;0.9679;1.070
0.268000;-0.0083;0.4608;0.9655;1.070
0.279000;-0.0005;0.4676;0.9552;1.064
0.281000;-0.0034;0.4656;0.9464;1.055
0.293000;0.0015;0.4705;0.9464;1.057
0.303000;-0.0049;0.4632;0.9240;1.034
0.311000;-0.0176;0.4681;0.9059;1.020
0.324000;-0.0327;0.4705;0.8942;1.011
0.332000;-0.0381;0.4725;0.8819;1.001
0.344000;-0.0396;0.4720;0.8736;0.994
0.353000;-0.0279;0.4774;0.8736;0.996
0.362000;-0.0181;0.4764;0.8678;0.990
0.407000;-0.0142;0.4744;0.8585;0.981
0.408000;-0.0078;0.4691;0.8678;0.986
0.408000;-0.0039;0.4803;0.8824;1.005
0.409000;0.0122;0.4871;0.8981;1.022
0.419000;0.0288;0.4740;0.8927;1.011
0.430000;0.0269;0.4642;0.8927;1.007
0.433000;0.0137;0.4578;0.8961;1.006
0.443000;-0.0093;0.4549;0.8893;0.999
0.454000;-0.0132;0.4544;0.8873;0.997
0.463000;-0.0078;0.4490;0.8810;0.989
0.477000;0.0005;0.4402;0.8683;0.973
0.484000;-0.0078;0.4344;0.8663;0.969
0.496000;-0.0210;0.4417;0.8595;0.967
0.531000;-0.0132;0.4525;0.8634;0.975
0.532000;0.0005;0.4525;0.8692;0.980
0.533000;0.0107;0.4520;0.8673;0.978
0.542000;0.0200;0.4490;0.8736;0.982
0.554000;0.0254;0.4549;0.8873;0.997
0.566000;0.0249;0.4603;0.8883;1.001
0.566000;0.0347;0.4554;0.8863;0.997
0.575000;0.0293;0.4466;0.8849;0.992
0.586000;0.0049;0.4363;0.8819;0.984
0.595000;-0.0288;0.4285;0.8854;0.984
0.611000;-0.0440;0.4402;0.9020;1.005
0.616000;-0.0298;0.4310;0.9064;1.004
0.628000;-0.0313;0.4261;0.9098;1.005
0.665000;-0.0298;0.4241;0.9230;1.016
0.666000;-0.0235;0.4319;0.9347;1.030
0.666000;-0.0088;0.4388;0.9411;1.038
0.668000;0.0098;0.4285;0.9376;1.031
0.677000;0.0259;0.4246;0.9254;1.019
0.688000;0.0274;0.4183;0.9201;1.011
0.696000;0.0205;0.4158;0.9205;1.010
0.707000;0.0171;0.4246;0.9328;1.025
0.717000;0.0191;0.4251;0.9118;1.006
0.728000;0.0371;0.4217;0.9083;1.002
0.739000;0.0445;0.4246;0.8990;0.995
0.747000;0.0430;0.4231;0.9010;0.996
0.762000;0.0450;0.4290;0.8956;0.994
0.768000;0.0562;0.4349;0.8956;0.997
0.787000;0.0606;0.4324;0.9069;1.007
0.791000;0.0787;0.4368;0.9083;1.011
0.797000;0.0806;0.4354;0.9137;1.015
0.814000;0.0752;0.4407;0.9157;1.019
0.819000;0.0650;0.4334;0.9171;1.016
0.829000;0.0498;0.4393;0.9103;1.012
0.840000;0.0371;0.4437;0.9020;1.006
0.849000;0.0391;0.4432;0.8971;1.001
0.859000;0.0396;0.4451;0.9078;1.012
0.870000;0.0410;0.4495;0.9323;1.036
0.879000;0.0347;0.4422;0.9342;1.034
0.898000;0.0322;0.4510;0.9367;1.040
0.901000;0.0191;0.4520;0.9259;1.031
0.955000;0.0054;0.4529;0.9186;1.024
0.956000;0.0000;0.4520;0.9044;1.011
0.957000;-0.0068;0.4583;0.8932;1.004
0.957000;-0.0024;0.4549;0.8819;0.992
0.957000;0.0112;0.4588;0.8746;0.988
0.961000;0.0337;0.4608;0.8717;0.987
0.972000;0.0567;0.4593;0.8629;0.979
0.981000;0.0704;0.4656;0.8712;0.990
0.990000;0.0767;0.4754;0.8648;0.990
1.001000;0.0850;0.4705;0.8712;0.994
1.011000;0.0787;0.4774;0.8815;1.006
1.021000;0.0630;0.4740;0.8898;1.010
1.034000;0.0371;0.4656;0.8907;1.006
1.072000;0.0005;0.4588;0.9025;1.012
1.073000;-0.0210;0.4656;0.9122;1.024
1.074000;-0.0298;0.4593;0.9289;1.037
1.074000;-0.0298;0.4525;0.9455;1.049
1.082000;-0.0254;0.4515;0.9635;1.064
1.094000;-0.0274;0.4471;0.9743;1.072
1.102000;-0.0279;0.4652;0.9841;1.089
1.112000;-0.0230;0.4598;0.9816;1.084
1.124000;-0.0249;0.4437;0.9743;1.071
1.133000;-0.0464;0.4290;0.9635;1.056
1.144000;-0.0762;0.4251;0.9455;1.039
1.152000;-0.0967;0.4300;0.9435;1.041
1.171000;-0.0948;0.4388;0.9279;1.031
1.225000;-0.0958;0.4363;0.9249;1.027
1.226000;-0.0909;0.4398;0.9118;1.016
1.226000;-0.0752;0.4417;0.8878;0.994
1.227000;-0.0528;0.4466;0.8702;0.980
1.227000;-0.0171;0.4427;0.8565;0.964
1.228000;0.0049;0.4417;0.8517;0.959
1.234000;0.0098;0.4451;0.8546;0.964
1.246000;-0.0239;0.4334;0.8546;0.958
1.256000;-0.0454;0.4432;0.8663;0.974
1.265000;-0.0503;0.4471;0.8673;0.977
1.276000;-0.1192;0.4168;0.8502;0.954
1.286000;-0.1163;0.4642;0.8893;1.010
1.300000;-0.0625;0.4681;0.8981;1.015
1.305000;-0.0342;0.4363;0.8878;0.990
1.331000;-0.0049;0.4314;0.9030;1.001
1.339000;0.0073;0.4534;0.8976;1.006
1.339000;-0.0024;0.4549;0.8946;1.004
1.396000;0.0064;0.4427;0.9039;1.007
1.397000;0.0235;0.4485;0.8937;1.000
1.398000;0.0469;0.4686;0.8981;1.014
1.398000;0.0684;0.4862;0.8966;1.022
1.399000;0.0914;0.4881;0.8903;1.019
1.399000;0.1104;0.4881;0.8912;1.022
1.409000;0.1153;0.4808;0.8863;1.015
1.417000;0.1129;0.4715;0.8849;1.009
1.430000;0.0958;0.4720;0.8912;1.013
1.438000;0.0816;0.4725;0.8873;1.009
1.456000;0.0635;0.4730;0.8780;0.999
1.465000;0.0503;0.4823;0.8546;0.983
1.535000;0.0611;0.4896;0.8267;0.963
1.536000;0.0660;0.4881;0.8238;0.960
1.536000;0.0611;0.4827;0.8204;0.954
1.536000;0.0591;0.4808;0.8223;0.954
1.537000;0.0606;0.4798;0.8443;0.973
1.537000;0.0689;0.4876;0.8624;0.993
1.538000;0.0718;0.4749;0.8683;0.992
1.539000;0.0904;0.4784;0.8868;1.012
1.549000;0.1016;0.4593;0.8986;1.014
