time;gFx;gFy;gFz;TgF
0.002000;-0.2883;0.3797;0.4099;0.629
0.004000;-0.1559;0.4002;0.7271;0.844
0.014000;0.1451;0.3513;1.0134;1.082
0.025000;0.3469;0.3924;1.2807;1.384
0.034000;0.3684;0.4363;1.3965;1.509
0.045000;0.2062;0.4446;1.4614;1.541
0.054000;0.1270;0.3889;1.4018;1.460
0.066000;-0.0191;0.3200;1.2113;1.253
0.115000;-0.1031;0.2253;0.9821;1.013
0.116000;-0.1823;0.1867;0.6792;0.728
0.116000;-0.3865;0.1124;0.5106;0.650
0.116000;-0.4261;0.0557;0.6518;0.781
0.131000;-0.2165;0.0733;0.8683;0.898
0.132000;-0.0738;0.2912;1.1976;1.235
0.148000;0.0577;0.5277;1.5870;1.673
0.148000;0.3870;0.4774;1.4805;1.603
0.166000;0.4994;0.3704;1.2557;1.401
0.182000;0.3332;0.2756;1.0696;1.154
0.182000;0.0723;0.2145;0.8023;0.834
0.197000;-0.1309;0.2756;0.9557;1.003
0.198000;-0.1725;0.2741;0.9323;0.987
0.210000;-0.0508;0.2751;1.0021;1.040
0.259000;0.1295;0.3112;1.0075;1.062
0.260000;0.3699;0.4041;0.9797;1.122
0.261000;0.2106;0.3054;0.8712;0.947
0.261000;0.1608;0.2145;0.7691;0.814
0.262000;0.1437;0.2819;0.8639;0.920
0.269000;0.1637;0.3088;0.8937;0.960
0.283000;0.1920;0.3171;0.8438;0.922
0.288000;0.2057;0.3098;0.8170;0.898
0.297000;0.1656;0.3220;0.8766;0.948
0.308000;0.1388;0.3347;0.9347;1.002
0.318000;0.1046;0.3406;0.9924;1.054
0.337000;0.1197;0.3513;0.9533;1.023
0.338000;0.1358;0.3767;0.9479;1.029
0.350000;0.1661;0.4246;0.9504;1.054
0.358000;0.1896;0.4187;0.8732;0.987
0.396000;0.1857;0.3968;0.7393;0.859
0.397000;0.1300;0.4095;0.6958;0.818
0.397000;0.1437;0.4490;0.6924;0.838
0.404000;0.1666;0.4764;0.8204;0.963
0.409000;0.1989;0.4285;0.9293;1.043
0.419000;0.1901;0.3880;0.9499;1.043
0.429000;0.1153;0.3518;0.8898;0.964
0.439000;0.1417;0.3826;0.9122;0.999
0.449000;0.2047;0.3640;0.8223;0.922
0.467000;0.2399;0.3303;0.7183;0.826
0.469000;0.1666;0.3919;0.7598;0.871
0.486000;0.0958;0.5409;0.9269;1.077
0.532000;0.0425;0.4945;0.9455;1.068
0.533000;0.1588;0.3968;0.8648;0.965
0.533000;0.2218;0.4124;0.8521;0.972
0.534000;0.2052;0.4407;0.8282;0.960
0.534000;0.1256;0.4319;0.7989;0.917
0.542000;0.0987;0.4422;0.7119;0.844
0.551000;0.2404;0.4456;0.7476;0.903
0.562000;0.2937;0.4945;0.8297;1.009
0.570000;0.2336;0.4520;0.9665;1.092
0.581000;0.1119;0.4471;0.8810;0.994
0.591000;0.1402;0.4744;0.9118;1.037
0.604000;0.1754;0.4099;0.9083;1.012
0.614000;0.0762;0.3831;0.7451;0.841
0.665000;0.0660;0.3797;0.6684;0.772
0.666000;0.1910;0.4153;0.7901;0.913
0.667000;0.3181;0.4007;0.9645;1.092
0.667000;0.2008;0.3992;1.0495;1.141
0.667000;0.0933;0.3176;1.1160;1.164
0.672000;0.1373;0.3518;1.1375;1.199
0.683000;0.1720;0.3938;1.0774;1.160
0.692000;0.1715;0.3831;0.9440;1.033
0.703000;0.1813;0.4046;0.7955;0.911
0.718000;0.1652;0.4495;0.6376;0.797
0.727000;0.1603;0.4007;0.6557;0.785
0.745000;0.1534;0.4051;0.7945;0.905
0.746000;0.3303;0.4178;0.9714;1.108
0.754000;0.3279;0.4344;0.8585;1.016
0.774000;0.3225;0.4075;0.9171;1.054
0.832000;0.3005;0.3782;1.0608;1.166
0.833000;0.1950;0.3850;1.0486;1.134
0.833000;0.1275;0.3577;1.1922;1.251
0.834000;0.1876;0.2629;1.1365;1.182
0.834000;0.2287;0.3709;0.8424;0.948
0.834000;0.3840;0.3147;0.7940;0.936
0.835000;0.3621;0.3039;0.7784;0.911
0.846000;0.2702;0.2961;0.7598;0.859
0.855000;0.1925;0.2233;0.7471;0.803
0.871000;0.0870;0.1564;0.7798;0.800
