time;gFx;gFy;gFz;TgF
0.005000;-0.1692;0.6060;0.5705;0.849
0.006000;-0.1228;0.6011;0.6404;0.887
0.006000;-0.0862;0.5898;0.7020;0.921
0.012000;-0.0539;0.5845;0.7552;0.956
0.013000;-0.0270;0.5776;0.8021;0.989
0.019000;-0.0138;0.5747;0.8324;1.012
0.032000;-0.0080;0.5742;0.8486;1.025
0.033000;-0.0060;0.5649;0.8740;1.041
0.049000;-0.0138;0.5639;0.9091;1.070
0.050000;-0.0319;0.5591;0.9282;1.084
0.051000;-0.0593;0.5522;0.9365;1.089
0.051000;-0.0837;0.5483;0.9556;1.105
0.053000;-0.0940;0.5420;0.9644;1.110
0.060000;-0.1047;0.5395;0.9639;1.110
0.063000;-0.1096;0.5371;0.9521;1.099
0.068000;-0.1096;0.5327;0.9375;1.084
0.074000;-0.1018;0.5356;0.9189;1.068
0.078000;-0.0940;0.5405;0.8896;1.045
0.083000;-0.0857;0.5556;0.8627;1.030
0.088000;-0.0803;0.5586;0.8319;1.005
0.093000;-0.0705;0.5586;0.8100;0.986
0.098000;-0.0622;0.5625;0.7938;0.975
0.103000;-0.0656;0.5659;0.7846;0.970
0.108000;-0.0661;0.5718;0.7806;0.970
0.114000;-0.0666;0.5727;0.7792;0.969
0.117000;-0.0676;0.5683;0.7787;0.966
0.125000;-0.0700;0.5708;0.7821;0.971
0.128000;-0.0735;0.5698;0.7865;0.974
0.133000;-0.0764;0.5722;0.7924;0.980
0.138000;-0.0808;0.5732;0.7973;0.985
0.150000;-0.0881;0.5737;0.7992;0.988
0.151000;-0.0866;0.5747;0.8061;0.994
0.153000;-0.0881;0.5708;0.8212;1.004
0.158000;-0.0920;0.5703;0.8359;1.016
0.163000;-0.0950;0.5698;0.8456;1.024
0.167000;-0.0945;0.5713;0.8564;1.034
0.178000;-0.0989;0.5732;0.8676;1.045
0.180000;-0.0964;0.5693;0.8759;1.049
0.182000;-0.0954;0.5654;0.8808;1.051
0.187000;-0.0940;0.5576;0.8837;1.049
0.193000;-0.0906;0.5547;0.8754;1.040
0.197000;-0.0915;0.5532;0.8720;1.037
0.202000;-0.0906;0.5561;0.8622;1.030
0.210000;-0.0940;0.5576;0.8471;1.018
0.215000;-0.0935;0.5551;0.8407;1.012
