time;ax;ay;az;aT
0.0050;-0.1168;-0.0952;-1.8914;1.897
0.0060;-0.1362;-0.1147;-1.4707;1.481
0.0070;-0.1411;-0.1537;-0.9000;0.924
0.0070;-0.1122;-0.1612;-0.3363;0.389
0.0220;-0.0449;-0.1858;0.2738;0.334
0.0230;0.0896;-0.2008;0.7547;0.786
0.0230;0.1712;-0.1975;0.9732;1.008
0.0520;0.2535;-0.1669;1.0019;1.047
0.0520;0.2706;-0.1814;0.9132;0.970
0.0530;0.2568;-0.1841;0.8895;0.944
0.0530;0.2214;-0.1889;0.7915;0.843
0.0540;0.1736;-0.1672;0.6145;0.660
0.0540;0.1466;-0.1190;0.4923;0.527
0.0610;0.1068;-0.1538;0.3336;0.383
0.0620;0.0635;-0.1805;0.1812;0.264
0.0670;0.0263;-0.2091;0.1072;0.236
0.0720;0.0039;-0.2102;0.1253;0.245
0.0770;0.0682;-0.1794;0.1732;0.258
0.0820;0.0850;-0.1357;0.1696;0.233
0.0870;0.1114;-0.1410;0.1813;0.255
0.0920;0.1907;-0.1381;0.1748;0.293
0.0970;0.2697;-0.1311;0.1020;0.317
0.1020;0.2580;-0.1440;0.0394;0.298
0.1140;0.3182;-0.1523;0.0633;0.358
0.1140;0.3691;-0.1324;0.1068;0.406
0.1170;0.4156;-0.0939;0.1793;0.462
0.1270;0.4099;-0.0800;0.1950;0.461
0.1350;0.4000;-0.1196;0.2399;0.482
0.1350;0.3336;-0.1217;0.2712;0.447
0.1470;0.2160;-0.0628;0.3032;0.378
0.1480;0.1089;-0.0050;0.2977;0.317
0.1490;0.0076;0.0422;0.2834;0.287
0.1530;-0.0549;0.0406;0.2410;0.250
0.1580;-0.0931;0.0188;0.2424;0.260
0.1630;-0.0684;0.0441;0.2156;0.230
0.1670;-0.0576;0.0256;0.2229;0.232
0.1740;0.0110;-0.0033;0.1446;0.145
0.1780;0.0370;0.0197;0.1482;0.154
0.1830;0.0449;0.0038;0.1093;0.118
0.1890;0.0155;-0.0031;0.0708;0.073
0.1930;0.0015;-0.0012;0.0758;0.076
0.1980;0.0122;-0.0189;0.0622;0.066
0.2030;0.0050;-0.0182;0.0394;0.044
0.2150;0.0897;-0.0324;0.0458;0.106
0.2150;0.0075;-0.0327;0.0094;0.035
0.2180;-0.0211;-0.0238;-0.0123;0.034
0.2260;-0.0297;-0.0103;-0.0003;0.031
0.2340;-0.0810;0.0124;0.0357;0.089
0.2340;-0.0364;0.0017;-0.0336;0.050
0.2480;-0.0490;-0.0137;-0.0167;0.054
0.2490;0.0011;-0.0100;-0.0476;0.049
0.2490;-0.0108;-0.0301;-0.0211;0.038
0.2530;-0.0176;-0.0119;-0.0521;0.056
0.2590;-0.0433;0.0013;-0.0350;0.056
0.2630;-0.0594;-0.0191;0.0108;0.063
0.2680;-0.0660;-0.0156;0.0135;0.069
0.2750;-0.0824;-0.0600;-0.0316;0.107
0.2780;-0.0752;-0.0805;-0.0336;0.115
0.2840;-0.0823;-0.0388;-0.0451;0.102
0.2970;-0.1037;-0.0355;-0.0040;0.110
0.2980;-0.1336;-0.0225;-0.0296;0.139
0.2990;-0.1537;-0.0382;0.0020;0.158
0.3060;-0.1496;-0.0301;-0.0046;0.153
0.3090;-0.1406;0.0207;0.0222;0.144
0.3160;-0.1268;-0.0144;0.0250;0.130
0.3190;-0.1079;0.0029;0.0230;0.110
0.3320;-0.1458;0.0058;-0.0121;0.146
0.3330;-0.1068;-0.0009;0.0244;0.110
0.3340;-0.1010;-0.0124;0.0274;0.105
0.3400;-0.1185;-0.0142;-0.0076;0.120
0.3440;-0.1640;0.0076;0.0195;0.165
0.3490;-0.1472;0.0290;0.0797;0.170
0.3540;-0.1542;0.0359;0.0018;0.158
0.3600;-0.1184;0.0186;0.0292;0.123
0.3640;-0.0922;0.0061;0.0089;0.093
0.3700;-0.0664;-0.0206;-0.0158;0.071
0.3750;-0.0265;-0.0329;-0.0309;0.052
0.3790;0.0129;-0.0355;-0.0173;0.042
0.3850;-0.0477;0.0191;-0.0753;0.091
0.3980;-0.0888;-0.0072;-0.0997;0.134
0.3990;-0.0963;0.0145;-0.0338;0.103
0.4000;-0.0851;0.0410;0.0172;0.096
0.4140;-0.0984;0.0390;0.0438;0.115
0.4150;-0.0219;0.0228;0.0749;0.081
0.4160;-0.0510;0.0352;0.1010;0.119
0.4200;-0.0518;0.0238;0.0889;0.106
0.4360;-0.0858;0.0741;0.1054;0.155
0.4370;-0.0579;0.0907;0.1598;0.193
0.4370;-0.0354;0.0641;0.1902;0.204
0.4430;-0.0706;0.0850;0.1776;0.209
0.4450;-0.1155;0.1149;0.2176;0.272
0.4500;-0.0751;0.0774;0.2386;0.262
0.4570;-0.0403;0.0732;0.2215;0.237
0.4600;0.0462;0.0687;0.1763;0.195
0.4650;0.0989;0.0212;0.1885;0.214
0.4710;0.1327;-0.0451;0.1581;0.211
0.4750;0.2049;-0.0397;0.0663;0.219
0.4800;0.2344;-0.0390;-0.0248;0.239
0.4850;0.2834;-0.0474;-0.0488;0.291
0.4980;0.3280;-0.0504;-0.0681;0.339
0.4990;0.3729;-0.1050;-0.0829;0.396
0.5000;0.3895;-0.0827;-0.1167;0.415
0.5090;0.4016;-0.1029;-0.0603;0.419
0.5140;0.4189;-0.1703;-0.0092;0.452
0.5160;0.4885;-0.1516;0.0511;0.514
0.5200;0.5183;-0.1819;0.0590;0.552
0.5330;0.5811;-0.2791;0.0286;0.645
0.5330;0.6577;-0.3284;-0.0447;0.736
0.5360;0.7627;-0.3871;-0.1180;0.863
0.5420;0.7859;-0.4932;-0.2202;0.954
0.5460;0.8708;-0.5175;-0.3415;1.069
0.5510;0.9649;-0.5649;-0.3867;1.183
