time;gFx;gFy;gFz;TgF
0.007000;-0.2254;0.5840;0.7245;0.957
0.007000;-0.1761;0.5429;0.7240;0.922
0.008000;-0.1404;0.5112;0.7919;0.953
0.008000;-0.1228;0.4916;0.8803;1.016
0.022000;-0.1116;0.4643;0.8681;0.991
0.023000;-0.1062;0.4608;0.9111;1.027
0.024000;-0.1150;0.4960;1.0147;1.135
0.040000;-0.1257;0.4902;1.0254;1.144
0.041000;-0.1355;0.4682;0.9702;1.086
0.041000;-0.1492;0.4584;0.9228;1.041
0.042000;-0.1570;0.4765;0.8857;1.018
0.048000;-0.1560;0.4926;0.9106;1.047
0.050000;-0.1624;0.4804;0.9052;1.038
0.061000;-0.1673;0.4677;0.8881;1.018
0.062000;-0.1619;0.4677;0.8793;1.009
0.065000;-0.1492;0.4711;0.8764;1.006
0.076000;-0.1414;0.4696;0.8754;1.003
0.077000;-0.1629;0.4550;0.8735;0.998
0.080000;-0.1614;0.4770;0.8378;0.977
0.086000;-0.1340;0.4970;0.8261;0.973
0.096000;-0.1252;0.4687;0.8896;1.013
0.097000;-0.1345;0.4393;0.9512;1.056
0.100000;-0.1370;0.4262;0.9458;1.046
0.105000;-0.1194;0.4154;0.9165;1.013
0.115000;-0.0915;0.3993;0.9121;1.000
0.116000;-0.0588;0.3866;0.9385;1.017
0.126000;-0.0212;0.3748;0.9785;1.048
0.127000;0.0111;0.3665;1.0030;1.068
0.130000;0.0267;0.3617;0.9981;1.062
0.135000;0.0213;0.3573;0.9795;1.043
0.140000;0.0047;0.3548;0.9736;1.036
0.145000;-0.0134;0.3621;0.9820;1.047
0.150000;-0.0334;0.3792;0.9912;1.062
0.156000;-0.0261;0.3724;1.0162;1.083
0.160000;-0.0080;0.3490;0.9971;1.056
0.165000;-0.0143;0.3446;0.9355;0.997
0.170000;-0.0285;0.3490;0.8837;0.951
0.175000;-0.0373;0.3455;0.8490;0.917
0.179000;-0.0500;0.3426;0.8471;0.915
0.184000;-0.0539;0.3397;0.8574;0.924
0.197000;-0.0573;0.3392;0.8515;0.918
0.197000;-0.0642;0.3260;0.8598;0.922
0.199000;-0.0925;0.3001;0.9741;1.023
0.205000;-0.1375;0.2976;1.1495;1.195
0.209000;-0.0779;0.3265;1.0078;1.062
0.216000;0.0140;0.3558;0.9609;1.025
0.222000;0.0321;0.3621;1.0914;1.150
0.225000;0.0233;0.3480;1.1090;1.163
0.229000;0.0125;0.3436;1.0738;1.128
0.235000;-0.0031;0.3446;1.0611;1.116
0.239000;-0.0041;0.3343;1.0538;1.106
0.245000;-0.0163;0.3275;1.0508;1.101
0.249000;-0.0280;0.3255;1.0411;1.091
0.257000;-0.0251;0.3309;1.0206;1.073
0.259000;-0.0099;0.3343;0.9927;1.048
0.264000;0.0057;0.3377;0.9707;1.028
0.269000;0.0130;0.3446;0.9434;1.004
0.275000;0.0121;0.3450;0.9116;0.975
0.279000;0.0091;0.3338;0.8857;0.947
0.284000;0.0028;0.3275;0.8813;0.940
0.297000;0.0028;0.3231;0.8749;0.933
0.298000;0.0037;0.3143;0.8759;0.931
0.299000;0.0047;0.3104;0.8759;0.929
0.305000;0.0179;0.3138;0.8730;0.928
0.309000;0.0199;0.3245;0.8793;0.938
0.314000;0.0125;0.3362;0.8735;0.936
0.319000;0.0091;0.3387;0.8618;0.926
0.324000;0.0037;0.3446;0.8456;0.913
0.329000;0.0042;0.3436;0.8339;0.902
0.334000;0.0008;0.3411;0.8329;0.900
0.339000;-0.0075;0.3406;0.8456;0.912
0.344000;-0.0104;0.3426;0.8569;0.923
0.349000;-0.0055;0.3475;0.8652;0.932
0.356000;-0.0016;0.3538;0.8769;0.946
0.359000;0.0062;0.3592;0.8745;0.945
0.364000;0.0096;0.3602;0.8749;0.946
0.369000;-0.0002;0.3592;0.8793;0.950
0.374000;-0.0060;0.3612;0.8852;0.956
0.379000;-0.0119;0.3641;0.8906;0.962
0.383000;-0.0129;0.3656;0.8979;0.970
0.398000;-0.0041;0.3631;0.8960;0.967
0.399000;-0.0065;0.3670;0.9013;0.973
0.400000;-0.0124;0.3734;0.9018;0.976
0.403000;-0.0158;0.3792;0.8979;0.975
0.411000;-0.0153;0.3768;0.8964;0.973
0.415000;-0.0119;0.3734;0.8999;0.974
0.418000;-0.0119;0.3734;0.9033;0.977
0.431000;-0.0192;0.3758;0.9028;0.978
0.432000;-0.0217;0.3802;0.8960;0.974
0.434000;-0.0231;0.3846;0.8798;0.961
0.439000;-0.0182;0.3861;0.8715;0.953
0.443000;-0.0138;0.3880;0.8696;0.952
0.448000;-0.0168;0.3866;0.8647;0.947
0.456000;-0.0207;0.3846;0.8564;0.939
0.458000;-0.0300;0.3812;0.8466;0.929
0.463000;-0.0441;0.3841;0.8427;0.927
0.468000;-0.0471;0.3846;0.8407;0.926
0.473000;-0.0471;0.3856;0.8520;0.936
0.478000;-0.0417;0.3851;0.8613;0.944
0.483000;-0.0324;0.3797;0.8691;0.949
0.497000;-0.0329;0.3788;0.8847;0.963
0.497000;-0.0305;0.3822;0.8960;0.975
0.498000;-0.0344;0.3895;0.9096;0.990
0.504000;-0.0373;0.3861;0.9233;1.001
0.508000;-0.0309;0.3846;0.9360;1.012
0.515000;-0.0280;0.3866;0.9463;1.023
0.518000;-0.0305;0.3890;0.9473;1.024
0.523000;-0.0329;0.3836;0.9341;1.010
0.528000;-0.0329;0.3792;0.9223;0.998
0.533000;-0.0412;0.3748;0.9263;1.000
0.540000;-0.0407;0.3788;0.9184;0.994
0.543000;-0.0427;0.3792;0.9219;0.998
0.548000;-0.0373;0.3773;0.9297;1.004
0.553000;-0.0378;0.3827;0.9238;1.001
0.558000;-0.0363;0.3876;0.9165;0.996
0.563000;-0.0383;0.3827;0.9067;0.985
0.568000;-0.0344;0.3812;0.9023;0.980
0.573000;-0.0373;0.3841;0.8969;0.976
0.577000;-0.0417;0.3915;0.9184;0.999
0.583000;-0.0383;0.4134;1.0078;1.090
0.599000;-0.0695;0.4169;1.0347;1.118
0.600000;-0.0862;0.3929;1.0386;1.114
0.600000;-0.0857;0.3871;1.0230;1.097
0.603000;-0.0544;0.4178;0.9741;1.061
0.613000;-0.0490;0.4335;0.8569;0.962
0.614000;-0.0300;0.4022;1.0142;1.091
0.617000;-0.0246;0.4232;0.8500;0.950
0.622000;-0.0363;0.4169;0.9776;1.063
0.627000;-0.0661;0.3929;0.8407;0.930
0.632000;-0.0212;0.4345;0.8574;0.961
0.637000;-0.0705;0.4012;0.8745;0.965
0.642000;-0.0353;0.4139;0.8339;0.932
0.647000;-0.0627;0.3724;0.8442;0.925
0.652000;-0.0031;0.3959;0.8676;0.954
0.657000;-0.0383;0.4208;0.7572;0.867
0.662000;-0.0241;0.4120;0.9057;0.995
0.667000;-0.0065;0.4330;0.8622;0.965
0.672000;-0.0466;0.4242;0.8520;0.953
0.677000;-0.0373;0.3959;0.9287;1.010
0.682000;-0.0187;0.4100;0.9331;1.019
0.687000;-0.0222;0.4340;0.9062;1.005
0.692000;-0.0222;0.4237;0.9238;1.017
0.697000;-0.0202;0.4115;0.9492;1.035
0.702000;-0.0236;0.4232;0.9722;1.061
0.715000;-0.0270;0.4354;0.9795;1.072
0.716000;-0.0358;0.4403;0.9707;1.067
0.717000;-0.0407;0.4428;0.9590;1.057
0.724000;-0.0446;0.4359;0.9565;1.052
0.727000;-0.0402;0.4301;0.9497;1.043
0.732000;-0.0353;0.4262;0.9350;1.028
0.737000;-0.0353;0.4257;0.9160;1.011
0.743000;-0.0309;0.4266;0.9033;0.999
0.746000;-0.0295;0.4237;0.8872;0.984
0.751000;-0.0236;0.4222;0.8793;0.976
0.758000;-0.0231;0.4203;0.8618;0.959
0.779000;-0.0270;0.4056;0.8359;0.929
0.780000;-0.0236;0.3944;0.8129;0.904
0.780000;-0.0207;0.4066;0.8007;0.898
0.781000;-0.0173;0.4159;0.7977;0.900
0.819000;-0.0114;0.4242;0.8031;0.908
0.820000;-0.0075;0.4325;0.8139;0.922
0.820000;-0.0041;0.4291;0.8217;0.927
0.821000;-0.0080;0.4286;0.8271;0.932
0.821000;-0.0148;0.4296;0.8554;0.957
0.821000;-0.0226;0.4413;0.8920;0.995
0.822000;-0.0178;0.4496;0.9258;1.029
0.822000;-0.0178;0.4574;0.9399;1.045
0.823000;-0.0207;0.4652;0.9424;1.051
0.834000;-0.0319;0.4672;0.9453;1.055
0.836000;-0.0432;0.4696;0.9370;1.049
0.836000;-0.0520;0.4706;0.9170;1.032
0.840000;-0.0622;0.4633;0.8911;1.006
0.846000;-0.0735;0.4613;0.8725;0.990
0.851000;-0.0749;0.4560;0.8642;0.980
0.865000;-0.0764;0.4579;0.8495;0.968
0.866000;-0.0798;0.4594;0.8427;0.963
0.866000;-0.0764;0.4555;0.8222;0.943
0.871000;-0.0710;0.4525;0.8153;0.935
0.876000;-0.0720;0.4540;0.8212;0.941
0.880000;-0.0764;0.4516;0.8324;0.950
0.888000;-0.0818;0.4594;0.8412;0.962
0.892000;-0.0925;0.4701;0.8598;0.984
0.898000;-0.0979;0.4721;0.8740;0.998
0.901000;-0.0950;0.4755;0.8852;1.009
0.908000;-0.0818;0.4765;0.8984;1.020
0.912000;-0.0764;0.4740;0.9165;1.035
0.916000;-0.0686;0.4696;0.9258;1.040
0.920000;-0.0642;0.4652;0.9277;1.040
0.925000;-0.0617;0.4604;0.9189;1.030
0.930000;-0.0671;0.4628;0.9106;1.024
0.935000;-0.0788;0.4638;0.9013;1.017
0.941000;-0.0906;0.4667;0.9126;1.029
0.945000;-0.1106;0.4740;0.9287;1.049
0.950000;-0.1238;0.4814;0.9443;1.067
