time;ax;ay;az;aT
0.0040;-0.3897;-0.1094;1.4955;1.549
0.0050;-0.4823;0.0998;1.5534;1.630
0.0090;-0.5261;0.3077;1.7375;1.841
0.0100;-0.5500;0.5140;1.9283;2.070
0.0140;-0.5395;0.6038;2.0353;2.190
0.0190;-0.5565;0.6577;2.1453;2.312
0.0270;-0.6010;0.6943;2.2395;2.420
0.0300;-0.5860;0.7987;2.3667;2.566
0.0340;-0.6216;0.8076;2.4795;2.681
0.0400;-0.7356;0.8154;2.4784;2.711
0.0440;-0.7364;0.7975;2.5074;2.732
0.0510;-0.6424;0.7387;2.4668;2.654
0.0640;-0.4147;0.5765;2.4190;2.521
0.0650;-0.2199;0.4005;2.4080;2.451
0.0650;-0.0483;0.1819;2.3618;2.369
0.0810;0.1195;-0.0555;2.2569;2.261
0.0820;0.3124;-0.1921;2.1026;2.134
0.0830;0.4642;-0.3141;1.8417;1.925
0.0850;0.6183;-0.3826;1.3877;1.567
0.0910;0.7758;-0.3969;0.9317;1.276
0.0950;0.8268;-0.3513;0.5304;1.043
0.1000;0.7667;-0.2593;0.1784;0.829
0.1070;0.7051;-0.1630;-0.0055;0.724
0.1100;0.5117;-0.0525;-0.1605;0.539
0.1150;0.3487;0.0777;-0.3349;0.490
0.1200;0.2678;0.2375;-0.4618;0.584
0.1250;0.2061;0.3219;-0.5417;0.663
0.1300;0.1540;0.4554;-0.6701;0.825
0.1350;0.1209;0.5522;-0.7754;0.960
0.1480;0.1167;0.6554;-0.8484;1.078
0.1480;0.0361;0.7224;-0.8891;1.146
0.1500;0.0557;0.7529;-0.7779;1.084
0.1570;0.0791;0.6898;-0.5677;0.897
0.1600;0.0385;0.5664;-0.4496;0.724
0.1650;0.0725;0.4399;-0.4140;0.608
0.1710;0.1284;0.3342;-0.3696;0.515
0.1760;0.1494;0.2441;-0.4216;0.510
0.1800;0.1554;0.2172;-0.4118;0.491
0.1850;0.0651;0.1957;-0.3784;0.431
0.1910;0.0180;0.1649;-0.4790;0.507
0.1950;0.0189;0.1391;-0.5365;0.555
0.2010;-0.0174;0.0796;-0.5985;0.604
0.2060;0.0098;0.0440;-0.5503;0.552
0.2100;0.0625;0.0413;-0.5017;0.507
0.2160;0.0691;0.0570;-0.5341;0.542
0.2210;0.0344;0.0857;-0.5848;0.592
0.2260;-0.0269;0.1612;-0.5630;0.586
0.2310;-0.0719;0.2114;-0.6028;0.643
0.2360;-0.0915;0.2845;-0.6802;0.743
0.2480;-0.1049;0.3181;-0.6613;0.741
0.2480;-0.0787;0.3225;-0.5895;0.676
0.2510;-0.0514;0.2448;-0.4695;0.532
