time;gFx;gFy;gFz;TgF
0.004000;-0.1409;0.5605;0.9331;1.098
0.004000;-0.1135;0.5561;0.9605;1.116
0.011000;-0.0920;0.5498;0.9795;1.127
0.012000;-0.0769;0.5439;0.9839;1.127
0.017000;-0.0608;0.5390;0.9800;1.120
0.023000;-0.0510;0.5395;0.9658;1.107
0.032000;-0.0441;0.5405;0.9399;1.085
0.033000;-0.0412;0.5439;0.9101;1.061
0.037000;-0.0466;0.5424;0.8759;1.031
0.051000;-0.0505;0.5415;0.8466;1.006
0.053000;-0.0544;0.5424;0.8212;0.986
0.053000;-0.0588;0.5410;0.8031;0.970
0.061000;-0.0637;0.5400;0.7826;0.953
0.062000;-0.0666;0.5371;0.7718;0.943
0.067000;-0.0715;0.5341;0.7689;0.939
0.072000;-0.0715;0.5253;0.7660;0.932
0.077000;-0.0715;0.5219;0.7689;0.932
0.082000;-0.0896;0.5224;0.7655;0.931
0.087000;-0.1228;0.5273;0.7738;0.944
0.092000;-0.1414;0.5376;0.7806;0.958
0.097000;-0.1165;0.5400;0.7987;0.971
0.102000;-0.0774;0.5249;0.8090;0.967
0.109000;-0.0568;0.5102;0.8095;0.959
0.112000;-0.0432;0.4950;0.8197;0.959
0.117000;-0.0202;0.4872;0.8315;0.964
0.121000;-0.0094;0.4897;0.8520;0.983
0.133000;0.0028;0.4975;0.8647;0.998
0.134000;0.0018;0.5126;0.8759;1.015
0.136000;-0.0050;0.5244;0.8710;1.017
0.143000;-0.0085;0.5312;0.8686;1.018
0.149000;-0.0065;0.5346;0.8676;1.019
0.154000;0.0028;0.5346;0.8534;1.007
0.157000;0.0013;0.5327;0.8363;0.992
0.161000;-0.0031;0.5263;0.8202;0.975
0.166000;-0.0114;0.5219;0.7973;0.953
0.171000;-0.0192;0.5185;0.7816;0.938
0.176000;-0.0324;0.5190;0.7738;0.932
0.181000;-0.0407;0.5224;0.7635;0.926
0.186000;-0.0559;0.5283;0.7645;0.931
0.192000;-0.0637;0.5341;0.7675;0.937
0.196000;-0.0676;0.5400;0.7665;0.940
0.201000;-0.0691;0.5420;0.7758;0.949
0.206000;-0.0642;0.5385;0.7953;0.963
0.211000;-0.0578;0.5380;0.8075;0.972
0.216000;-0.0520;0.5400;0.8129;0.977
0.221000;-0.0407;0.5341;0.8217;0.981
0.234000;-0.0295;0.5336;0.8310;0.988
0.235000;-0.0236;0.5336;0.8319;0.989
0.236000;-0.0168;0.5341;0.8378;0.994
