time;gFx;gFy;gFz;TgF
0.003000;-0.0480;0.2761;0.9712;1.011
0.004000;-0.0520;0.2786;0.9683;1.009
0.005000;-0.0593;0.2771;0.9702;1.011
0.014000;-0.0608;0.2776;0.9722;1.013
0.016000;-0.0564;0.2776;0.9639;1.005
0.017000;-0.0534;0.2766;0.9487;0.990
0.024000;-0.0520;0.2786;0.9429;0.985
0.026000;-0.0524;0.2781;0.9399;0.982
0.038000;-0.0529;0.2742;0.9473;0.988
0.039000;-0.0554;0.2747;0.9531;0.993
0.041000;-0.0588;0.2771;0.9595;1.000
0.055000;-0.0588;0.2815;0.9575;1.000
0.056000;-0.0632;0.2849;0.9619;1.005
0.056000;-0.0632;0.2835;0.9639;1.007
0.061000;-0.0598;0.2830;0.9551;0.998
0.072000;-0.0583;0.2791;0.9575;0.999
0.073000;-0.0583;0.2786;0.9561;0.998
0.076000;-0.0568;0.2722;0.9497;0.990
0.091000;-0.0573;0.2727;0.9443;0.985
0.092000;-0.0593;0.2713;0.9453;0.985
0.092000;-0.0588;0.2718;0.9473;0.987
0.096000;-0.0651;0.2727;0.9497;0.990
0.101000;-0.0642;0.2727;0.9507;0.991
0.106000;-0.0603;0.2718;0.9526;0.992
0.111000;-0.0515;0.2708;0.9570;0.996
0.116000;-0.0471;0.2732;0.9624;1.002
0.121000;-0.0456;0.2698;0.9683;1.006
0.125000;-0.0529;0.2678;0.9639;1.002
0.132000;-0.0500;0.2693;0.9595;0.998
0.135000;-0.0544;0.2688;0.9556;0.994
0.140000;-0.0529;0.2698;0.9541;0.993
0.146000;-0.0544;0.2698;0.9575;0.996
0.151000;-0.0485;0.2698;0.9531;0.992
0.156000;-0.0505;0.2703;0.9463;0.985
0.161000;-0.0500;0.2669;0.9477;0.986
0.175000;-0.0490;0.2674;0.9473;0.985
0.176000;-0.0534;0.2678;0.9468;0.985
0.177000;-0.0524;0.2708;0.9497;0.989
0.182000;-0.0476;0.2722;0.9600;0.999
0.187000;-0.0490;0.2708;0.9634;1.002
0.191000;-0.0446;0.2732;0.9629;1.002
0.195000;-0.0476;0.2742;0.9565;0.996
0.203000;-0.0466;0.2757;0.9541;0.994
0.206000;-0.0476;0.2732;0.9580;0.997
0.212000;-0.0520;0.2722;0.9565;0.996
0.216000;-0.0500;0.2732;0.9575;0.997
0.220000;-0.0554;0.2683;0.9561;0.995
0.225000;-0.0603;0.2708;0.9575;0.997
0.233000;-0.0593;0.2732;0.9644;1.004
0.235000;-0.0578;0.2761;0.9658;1.006
0.241000;-0.0568;0.2742;0.9673;1.007
0.249000;-0.0578;0.2732;0.9761;1.015
0.251000;-0.0544;0.2757;0.9707;1.011
0.255000;-0.0544;0.2810;0.9605;1.002
0.260000;-0.0559;0.2791;0.9595;1.001
0.267000;-0.0544;0.2776;0.9497;0.991
0.270000;-0.0583;0.2781;0.9438;0.986
0.275000;-0.0593;0.2771;0.9424;0.984
0.293000;-0.0593;0.2747;0.9404;0.982
0.294000;-0.0598;0.2752;0.9434;0.984
0.294000;-0.0622;0.2698;0.9477;0.987
0.295000;-0.0583;0.2718;0.9507;0.990
0.300000;-0.0612;0.2752;0.9634;1.004
0.305000;-0.0617;0.2761;0.9678;1.008
0.310000;-0.0661;0.2776;0.9732;1.014
0.316000;-0.0686;0.2781;0.9776;1.019
0.320000;-0.0651;0.2801;0.9761;1.018
0.325000;-0.0651;0.2786;0.9776;1.019
0.332000;-0.0632;0.2761;0.9839;1.024
0.335000;-0.0632;0.2771;0.9844;1.025
0.339000;-0.0617;0.2752;0.9829;1.023
0.345000;-0.0598;0.2757;0.9761;1.016
0.349000;-0.0554;0.2747;0.9751;1.015
0.354000;-0.0529;0.2752;0.9668;1.007
0.359000;-0.0524;0.2727;0.9649;1.004
0.376000;-0.0554;0.2757;0.9678;1.008
0.377000;-0.0529;0.2791;0.9790;1.019
