time;gFx;gFy;gFz;TgF
0.005000;-0.0715;0.3118;0.9795;1.030
0.005000;-0.0642;0.3118;0.9844;1.035
0.005000;-0.0642;0.3074;0.9844;1.033
0.006000;-0.0627;0.3143;0.9746;1.026
0.015000;-0.0588;0.3206;0.9756;1.029
0.016000;-0.0568;0.3182;0.9746;1.027
0.016000;-0.0573;0.3187;0.9688;1.021
0.022000;-0.0524;0.3167;0.9639;1.016
0.026000;-0.0515;0.3123;0.9624;1.013
0.033000;-0.0456;0.3113;0.9575;1.008
0.035000;-0.0441;0.3113;0.9580;1.008
0.040000;-0.0471;0.3113;0.9634;1.014
0.046000;-0.0476;0.3123;0.9575;1.008
0.050000;-0.0510;0.3138;0.9497;1.001
0.055000;-0.0529;0.3104;0.9414;0.993
0.060000;-0.0539;0.3118;0.9316;0.984
0.066000;-0.0583;0.3147;0.9316;0.985
0.070000;-0.0661;0.3177;0.9346;0.989
0.075000;-0.0695;0.3191;0.9394;0.995
0.080000;-0.0686;0.3172;0.9409;0.995
0.090000;-0.0666;0.3143;0.9419;0.995
0.090000;-0.0603;0.3118;0.9419;0.994
0.095000;-0.0573;0.3084;0.9336;0.985
0.100000;-0.0495;0.3074;0.9316;0.982
0.106000;-0.0485;0.3069;0.9326;0.983
0.110000;-0.0583;0.3108;0.9355;0.988
0.115000;-0.0539;0.3123;0.9419;0.994
0.120000;-0.0588;0.3147;0.9429;0.996
0.125000;-0.0593;0.3138;0.9443;0.997
0.129000;-0.0534;0.3152;0.9448;0.997
0.135000;-0.0500;0.3162;0.9438;0.997
0.139000;-0.0480;0.3123;0.9438;0.995
0.145000;-0.0539;0.3118;0.9438;0.995
0.150000;-0.0578;0.3108;0.9482;1.000
0.154000;-0.0583;0.3138;0.9512;1.003
0.159000;-0.0588;0.3162;0.9546;1.007
0.165000;-0.0593;0.3118;0.9546;1.006
0.169000;-0.0573;0.3069;0.9551;1.005
0.174000;-0.0534;0.3069;0.9551;1.005
0.179000;-0.0500;0.3074;0.9561;1.006
0.185000;-0.0515;0.3045;0.9526;1.001
0.189000;-0.0534;0.3069;0.9531;1.003
0.194000;-0.0598;0.3138;0.9556;1.008
0.208000;-0.0612;0.3143;0.9546;1.007
0.209000;-0.0612;0.3123;0.9590;1.010
0.209000;-0.0647;0.3113;0.9673;1.018
0.216000;-0.0647;0.3118;0.9678;1.019
0.223000;-0.0642;0.3094;0.9644;1.015
0.224000;-0.0656;0.3099;0.9634;1.014
0.229000;-0.0622;0.3138;0.9605;1.012
0.234000;-0.0651;0.3162;0.9502;1.004
0.239000;-0.0715;0.3167;0.9458;1.000
0.244000;-0.0720;0.3187;0.9487;1.003
0.249000;-0.0715;0.3235;0.9453;1.002
0.254000;-0.0720;0.3255;0.9424;1.000
0.259000;-0.0710;0.3240;0.9355;0.993
0.264000;-0.0774;0.3250;0.9297;0.988
0.274000;-0.0769;0.3235;0.9355;0.993
0.275000;-0.0754;0.3250;0.9399;0.997
0.279000;-0.0695;0.3211;0.9375;0.993
0.291000;-0.0617;0.3152;0.9399;0.993
0.292000;-0.0583;0.3152;0.9424;0.995
0.294000;-0.0544;0.3084;0.9477;0.998
0.308000;-0.0456;0.3025;0.9477;0.996
0.309000;-0.0427;0.2967;0.9477;0.994
0.309000;-0.0388;0.2967;0.9424;0.989
0.313000;-0.0422;0.2952;0.9394;0.986
0.325000;-0.0397;0.3006;0.9350;0.983
0.326000;-0.0422;0.3040;0.9424;0.991
0.328000;-0.0402;0.3045;0.9487;0.997
0.333000;-0.0510;0.3084;0.9463;0.997
0.338000;-0.0598;0.3118;0.9536;1.005
0.343000;-0.0568;0.3133;0.9492;1.001
0.350000;-0.0500;0.3162;0.9409;0.994
0.353000;-0.0524;0.3143;0.9492;1.001
0.358000;-0.0534;0.3089;0.9487;0.999
0.363000;-0.0510;0.3050;0.9463;0.996
0.368000;-0.0520;0.2996;0.9453;0.993
0.373000;-0.0529;0.2957;0.9473;0.994
0.378000;-0.0456;0.2962;0.9448;0.991
0.390000;-0.0461;0.2991;0.9424;0.990
0.390000;-0.0485;0.3040;0.9424;0.991
0.393000;-0.0495;0.3089;0.9434;0.994
0.399000;-0.0505;0.3094;0.9375;0.989
0.404000;-0.0564;0.3157;0.9341;0.988
0.408000;-0.0583;0.3128;0.9355;0.988
0.413000;-0.0568;0.3157;0.9463;0.999
0.418000;-0.0588;0.3182;0.9443;0.998
0.423000;-0.0627;0.3147;0.9473;1.000
0.428000;-0.0573;0.3147;0.9497;1.002
0.434000;-0.0549;0.3157;0.9512;1.004
0.438000;-0.0466;0.3143;0.9512;1.003
0.443000;-0.0417;0.3143;0.9434;0.995
0.447000;-0.0417;0.3104;0.9473;0.998
0.452000;-0.0388;0.3035;0.9512;0.999
0.457000;-0.0363;0.3025;0.9521;1.000
0.463000;-0.0397;0.3020;0.9561;1.003
0.468000;-0.0397;0.3020;0.9531;1.001
0.473000;-0.0402;0.3020;0.9487;0.996
0.477000;-0.0441;0.3084;0.9521;1.002
0.492000;-0.0515;0.3128;0.9590;1.010
0.493000;-0.0583;0.3172;0.9595;1.012
0.493000;-0.0544;0.3182;0.9580;1.011
0.497000;-0.0495;0.3123;0.9541;1.005
0.504000;-0.0485;0.3099;0.9458;0.996
0.507000;-0.0471;0.3064;0.9531;1.002
0.512000;-0.0388;0.3045;0.9507;0.999
0.517000;-0.0417;0.3045;0.9473;0.996
0.522000;-0.0495;0.3094;0.9536;1.004
0.527000;-0.0588;0.3094;0.9565;1.007
0.533000;-0.0573;0.3123;0.9614;1.013
0.537000;-0.0632;0.3133;0.9653;1.017
0.542000;-0.0622;0.3143;0.9707;1.022
0.547000;-0.0598;0.3113;0.9771;1.027
0.552000;-0.0583;0.3133;0.9751;1.026
0.557000;-0.0573;0.3123;0.9644;1.015
0.562000;-0.0578;0.3138;0.9556;1.007
0.568000;-0.0554;0.3201;0.9458;1.000
0.572000;-0.0480;0.3211;0.9360;0.991
0.577000;-0.0446;0.3143;0.9390;0.991
0.591000;-0.0388;0.3113;0.9380;0.989
0.593000;-0.0388;0.3060;0.9287;0.979
0.593000;-0.0353;0.3055;0.9341;0.983
0.597000;-0.0314;0.3050;0.9414;0.990
0.604000;-0.0373;0.3035;0.9453;0.994
0.607000;-0.0407;0.3064;0.9507;1.000
0.612000;-0.0368;0.3064;0.9463;0.995
0.617000;-0.0378;0.3040;0.9434;0.992
0.622000;-0.0353;0.3069;0.9424;0.992
0.626000;-0.0339;0.3040;0.9399;0.988
0.634000;-0.0378;0.3025;0.9434;0.991
0.636000;-0.0417;0.3084;0.9409;0.991
0.641000;-0.0417;0.3108;0.9394;0.990
0.647000;-0.0456;0.3094;0.9404;0.991
0.651000;-0.0441;0.3113;0.9390;0.990
0.656000;-0.0505;0.3123;0.9370;0.989
0.661000;-0.0466;0.3079;0.9409;0.991
0.668000;-0.0471;0.3069;0.9482;0.998
0.671000;-0.0485;0.3128;0.9619;1.013
0.676000;-0.0476;0.3143;0.9619;1.013
0.691000;-0.0456;0.3128;0.9609;1.012
0.692000;-0.0461;0.3152;0.9551;1.007
0.693000;-0.0461;0.3104;0.9614;1.011
0.697000;-0.0456;0.3089;0.9570;1.007
0.703000;-0.0490;0.3113;0.9521;1.003
0.706000;-0.0466;0.3113;0.9424;0.994
0.711000;-0.0495;0.3167;0.9394;0.993
0.717000;-0.0505;0.3143;0.9355;0.988
0.721000;-0.0480;0.3118;0.9316;0.984
0.726000;-0.0451;0.3069;0.9316;0.982
0.731000;-0.0412;0.3060;0.9429;0.992
0.736000;-0.0393;0.3040;0.9463;0.995
0.741000;-0.0329;0.3025;0.9507;0.998
0.746000;-0.0319;0.2967;0.9565;1.002
0.751000;-0.0393;0.2986;0.9546;1.001
0.756000;-0.0476;0.3064;0.9541;1.003
0.761000;-0.0485;0.3108;0.9551;1.006
0.767000;-0.0529;0.3094;0.9795;1.029
0.771000;-0.0349;0.3001;0.9903;1.035
0.775000;-0.0334;0.3069;0.9243;0.974
0.781000;-0.0378;0.3089;0.9057;0.958
0.791000;-0.0349;0.3025;0.9165;0.966
0.792000;-0.0314;0.3025;0.9355;0.984
0.795000;-0.0407;0.3040;0.9477;0.996
0.805000;-0.0441;0.3074;0.9468;0.996
0.806000;-0.0471;0.3123;0.9482;0.999
0.810000;-0.0480;0.3143;0.9536;1.005
0.817000;-0.0524;0.3201;0.9600;1.013
0.820000;-0.0588;0.3196;0.9624;1.016
0.825000;-0.0549;0.3191;0.9585;1.012
0.830000;-0.0520;0.3201;0.9629;1.016
0.835000;-0.0515;0.3182;0.9653;1.018
0.840000;-0.0529;0.3138;0.9541;1.006
0.845000;-0.0500;0.3108;0.9497;1.001
0.850000;-0.0476;0.3094;0.9487;0.999
0.855000;-0.0441;0.3069;0.9394;0.989
0.860000;-0.0480;0.3074;0.9370;0.987
0.867000;-0.0436;0.3108;0.9394;0.990
0.870000;-0.0432;0.3113;0.9370;0.988
0.875000;-0.0446;0.3108;0.9370;0.988
0.880000;-0.0476;0.3152;0.9394;0.992
0.885000;-0.0524;0.3162;0.9390;0.992
0.890000;-0.0524;0.3172;0.9394;0.993
0.895000;-0.0510;0.3138;0.9434;0.995
0.912000;-0.0471;0.3138;0.9507;1.002
0.913000;-0.0412;0.3177;0.9531;1.006
0.914000;-0.0456;0.3177;0.9605;1.013
0.927000;-0.0456;0.3152;0.9614;1.013
0.928000;-0.0441;0.3128;0.9536;1.005
0.929000;-0.0422;0.3167;0.9517;1.004
0.931000;-0.0393;0.3123;0.9468;0.998
0.935000;-0.0407;0.3104;0.9458;0.996
0.939000;-0.0349;0.3069;0.9507;1.000
0.945000;-0.0344;0.3104;0.9477;0.998
0.951000;-0.0388;0.3099;0.9600;1.009
0.954000;-0.0422;0.3099;0.9614;1.011
0.959000;-0.0476;0.3123;0.9629;1.013
0.965000;-0.0480;0.3133;0.9585;1.010
0.969000;-0.0451;0.3104;0.9536;1.004
0.974000;-0.0397;0.3074;0.9526;1.002
0.979000;-0.0378;0.3064;0.9497;0.999
0.991000;-0.0319;0.3074;0.9477;0.997
0.992000;-0.0393;0.3064;0.9477;0.997
1.007000;-0.0485;0.3069;0.9531;1.003
1.008000;-0.0500;0.3113;0.9492;1.000
1.009000;-0.0539;0.3123;0.9482;1.000
1.010000;-0.0510;0.3113;0.9477;0.999
1.015000;-0.0515;0.3147;0.9424;0.995
1.019000;-0.0500;0.3128;0.9448;0.997
1.024000;-0.0564;0.3128;0.9487;1.001
1.029000;-0.0568;0.3162;0.9507;1.004
1.035000;-0.0568;0.3167;0.9492;1.002
1.039000;-0.0549;0.3162;0.9468;1.000
1.044000;-0.0480;0.3147;0.9375;0.990
1.049000;-0.0456;0.3108;0.9311;0.983
1.054000;-0.0466;0.3108;0.9306;0.982
1.059000;-0.0461;0.3060;0.9311;0.981
1.064000;-0.0417;0.3030;0.9326;0.981
